Ambiguity,N,P(I|I),P(I|K),Difference,Chi2,p-value
Low,4143,0.8582677165354331,0.7242401779095626,0.13402753862587047,107.33398917555883,3.761281145078358e-25
Medium,4129,0.7620817843866171,0.5482974287699791,0.213784355616638,198.46552717347055,4.515382155480929e-45
High,4142,0.550482553823311,0.3335635359116022,0.2169190179117088,176.84820511275535,2.363839377267299e-40
