accuracy,f1_score
0.6,0.6
0.0,0.0
1.0,1.0
0.8,0.711111111111111
0.6,0.6
0.8,0.711111111111111
1.0,1.0
0.8,0.711111111111111
0.8,0.711111111111111
0.6,0.6
0.8,0.888888888888889
1.0,1.0
0.4,0.22857142857142856
0.6,0.45
0.4,0.22857142857142856
0.2,0.13333333333333333
0.4,0.34285714285714286
0.6,0.45
0.6,0.45
0.8,0.711111111111111
0.8,0.711111111111111
0.8,0.711111111111111
0.6,0.45
0.8,0.711111111111111
1.0,1.0
0.4,0.22857142857142856
0.8,0.711111111111111
0.8,0.711111111111111
0.6,0.45
0.2,0.06666666666666667
0.8,0.8
0.4,0.4
0.8,0.711111111111111
0.4,0.4
0.4,0.22857142857142856
0.8,0.711111111111111
0.2,0.26666666666666666
1.0,1.0
1.0,1.0
0.2,0.06666666666666667
0.8,0.711111111111111
0.2,0.06666666666666667
0.2,0.06666666666666667
0.6,0.45
0.8,0.711111111111111
0.2,0.13333333333333333
0.8,0.711111111111111
0.4,0.45714285714285713
0.2,0.06666666666666667
0.6,0.45
0.4,0.22857142857142856
0.6,0.45
0.8,0.711111111111111
0.6,0.45
0.6,0.45
0.2,0.06666666666666667
0.8,0.711111111111111
0.8,0.888888888888889
0.6,0.45
0.6,0.5666666666666667
0.4,0.22857142857142856
0.2,0.06666666666666667
0.2,0.06666666666666667
1.0,1.0
0.8,0.711111111111111
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
0.6,0.45
0.6,0.45
0.8,0.711111111111111
0.6,0.6
0.2,0.06666666666666667
0.8,0.711111111111111
0.8,0.711111111111111
1.0,1.0
0.4,0.22857142857142856
0.0,0.0
0.4,0.22857142857142856
1.0,1.0
1.0,1.0
1.0,1.0
0.8,0.711111111111111
0.0,0.0
0.6,0.6
0.2,0.06666666666666667
0.0,0.0
0.2,0.06666666666666667
0.2,0.06666666666666667
0.8,0.711111111111111
1.0,1.0
0.2,0.06666666666666667
0.2,0.06666666666666667
0.4,0.22857142857142856
0.8,0.711111111111111
0.6,0.75
