subject_id,visit_number,team,user_id,n_trials,invest_rate,log_odds_invest,ev_sensitivity,ambiguity_aversion,choice_momentum,rt_mean,rt_cv,pupil_mean,pupil_cv,fixation_ratio,saccade_count
0824_1000_539136F,1.0,Team 17,539136F,131,0.7099236641221374,0.89501333342687,0.15454939406046211,0.3279598308668076,-0.07232941279383033,2.4328409335851484,0.2546043462556518,0.41135925387871614,3.7879179149863065,0.9998078153788986,0.061068702290076333
0824_1000_9M4VCHG,1.0,Team 17,9M4VCHG,107,0.45794392523364486,-0.16862271243579283,0.5007858686319394,0.3384920634920635,0.049695408495699187,3.249721869151761,0.21139486014181363,0.6841171239561279,1.8037925853637673,0.9986910731687842,0.3925233644859813
0826_1000_539136F,3.0,Team 17,539136F,132,0.9848484848484849,4.174387269895638,-0.09805806756909201,0.022727272727272707,-0.01891400896977505,1.7935385068227665,0.25413683594866515,0.633076020346417,2.061178027389165,0.9996907561313616,0.06060606060606061
0826_1000_9M4VCHG,3.0,Team 17,9M4VCHG,127,0.47244094488188976,-0.11034805716886534,0.8542844493725399,0.041176470588235314,-0.12904434150555905,2.3658077582695403,0.2991295332402655,0.31600459004697756,2.0926196148007357,0.9973001049905159,0.5354330708661418
0830_1300_539136F,1.0,Team 21,539136F,126,0.7222222222222222,0.9555114450274362,0.41851610116330534,0.3394548063127689,-0.02570759588086085,2.823498453968193,0.2587160768263709,0.5309377066487334,1.4711974611251584,0.9968063575176459,0.6666666666666666
0830_1300_9M4VCHG,1.0,Team 21,9M4VCHG,131,0.6793893129770993,0.7509667514487716,0.046254547822629694,0.48275862068965514,-0.012818572398855138,2.077922765647669,0.2982680219722319,0.3760861749037323,2.593993952455134,0.9997705980193862,0.061068702290076333
0830_1300_U9TEJGM,1.0,Team 21,U9TEJGM,129,0.5736434108527132,0.29673190797169885,0.17858304009576395,0.6046511627906976,0.09142277395582193,2.502946737209288,0.3085078230343875,0.3892787436343209,2.42770753360189,0.9996685078549569,0.046511627906976744
0831_1300_539136F,2.0,Team 21,539136F,130,0.8153846153846154,1.4853852637641214,0.4472228988259061,0.14164904862579275,-0.029383865188806754,2.0644823946146063,0.2587837516000875,0.526790398784978,1.662694898001473,0.9990901246051891,0.15384615384615385
0831_1300_9M4VCHG,2.0,Team 21,9M4VCHG,119,0.6974789915966386,0.8353216693404878,-0.051607694136234575,0.3737179487179487,-0.003978171651676477,1.877658962186019,0.29340620698223535,0.45822431713190687,1.7964136473863435,0.9996062864000552,0.07563025210084033
0831_1300_U9TEJGM,2.0,Team 21,U9TEJGM,129,0.5271317829457365,0.10863384100279556,0.19929586226052987,0.6744186046511628,0.13670780176538633,2.302709020930974,0.2968790852937992,0.3780186884490512,2.3435516621257433,0.9985518527393399,0.21705426356589147
0901_1300_539136F,3.0,Team 21,539136F,116,0.8275862068965517,1.5686159179138452,0.3760964218168554,0.1868421052631578,-0.0949504747228971,2.1082269198264716,0.28513012586980707,0.2999901788544525,1.7820097059968267,0.9879470194206568,3.25
0901_1300_9M4VCHG,3.0,Team 21,9M4VCHG,124,0.3790322580645161,-0.4936578201436253,0.0387060228250077,-0.4933881868939171,0.13562038188855782,1.8524116483946977,0.2364650933360929,0.7426624608900693,1.9281681401086428,0.9991712907226913,0.10483870967741936
0901_1300_U9TEJGM,3.0,Team 21,U9TEJGM,128,0.4609375,-0.15656906069153992,0.5273051515781857,0.25143638850889194,-0.04548470127781845,2.403191625782256,0.29855381190184266,0.44848390702177965,2.399703340683358,0.9997895780943109,0.03125
0915_1000_539136F,1.0,Team 22,539136F,119,0.453781512605042,-0.1854032233313628,-0.2916165317712955,0.20224358974358975,-0.24872198627730932,2.6486737823559894,0.35468135612889856,0.3508883411218187,3.708503411566921,0.9980449000775465,0.6302521008403361
0915_1000_9M4VCHG,1.0,Team 22,9M4VCHG,131,0.9618320610687023,3.226843994517379,0.015339888679208696,0.05747126436781613,0.14836551586551566,1.8254506999999385,0.3743220765577145,0.7414776258587501,1.8348709269218197,0.998665132836945,0.1984732824427481
0915_1000_U9TEJGM,1.0,Team 22,U9TEJGM,82,0.4024390243902439,-0.39531273664414623,0.31987953807012287,0.5143859649122807,-0.07761362712039815,2.9212910951137907,0.26304743874835446,0.11117567051395984,5.33620646488381,0.9851862416378415,3.231707317073171
0917_1030_539136F,2.0,Team 22,539136F,131,0.6335877862595419,0.5476395968887068,-0.01893116450491255,0.026162790697674465,-0.060111184624568624,1.497680074809214,0.3908607526138953,0.3165922424702385,9.87051685771135,0.9997745113613721,0.04580152671755725
0917_1030_9M4VCHG,2.0,Team 22,9M4VCHG,129,1.0,6.906754778648553,,0.0,,1.4213000844959658,0.22827364193788513,0.4216241864888356,2.1898268906907634,0.9991666597279466,0.07751937984496124
0917_1030_U9TEJGM,2.0,Team 22,U9TEJGM,129,0.6201550387596899,0.490206336563255,0.43586117188610607,0.3695187165775401,0.02535226940089408,2.5686574658913965,0.2550076112818685,0.24791730745214444,3.3693075454289962,0.9942695532324913,0.9224806201550387
0920_1600_539136F,1.0,Team 24,539136F,128,0.625,0.5108256237659907,0.14011904577515136,0.5517241379310345,-0.04114258764441169,2.4377776085937626,0.3516984908702858,0.18163908307251497,3.020628464539541,0.9981383451508945,0.375
0920_1600_9M4VCHG,1.0,Team 24,9M4VCHG,128,0.5859375,0.34719619998418855,0.08039002993921858,0.5963203463203464,0.07200650362119176,2.3729778335937226,0.3563125943255101,0.6286499982008589,2.3795128133193244,0.9988675480678892,0.2734375
0920_1600_U9TEJGM,1.0,Team 24,U9TEJGM,123,0.4959349593495935,-0.016260520871780516,0.1832673153912993,0.4761904761904762,-0.11430531252567866,2.7030794081301273,0.27021384409515736,0.3403324742113972,3.199929410099666,0.9977938268849981,0.4878048780487805
0923_1600_539136F,2.0,Team 24,539136F,121,0.743801652892562,1.0658224658451187,-0.08273336546373738,0.09237804878048783,0.13637142953843823,1.8328493090910734,0.3286844510759495,0.39136546191174926,15.875893938461262,0.9982941690662495,0.256198347107438
0923_1600_U9TEJGM,2.0,Team 24,U9TEJGM,128,0.59375,0.3794896217049037,0.10375157410923534,0.40164158686730506,-0.14208754705769364,2.369580063281404,0.28550297220916226,0.36292033066316387,2.1472151958706265,0.9993770584968957,0.171875
0924_1000_539136F,3.0,Team 22,539136F,128,0.7109375,0.8999415938726256,-0.015689968108714192,0.1821705426356589,-0.07208338223550087,1.424034958594575,0.4161194333199294,0.2678380450623964,11.341323832945061,0.9987938674689475,0.25
0924_1000_9M4VCHG,3.0,Team 22,9M4VCHG,130,0.9846153846153847,4.158883083359675,-0.036792365365763885,0.023255813953488413,-0.01921066844169521,1.6397298792316668,0.268107705070246,0.7572644174877741,2.830869645400043,0.9998952175943326,0.03076923076923077
0924_1000_U9TEJGM,3.0,Team 22,U9TEJGM,120,0.7416666666666667,1.0546491652469938,0.4098181892213031,0.3067426400759734,-0.13863799362548437,2.3572350966667726,0.24776561438856015,0.35204678226325437,2.0175553497554057,0.9915321998693217,1.7333333333333334
0924_1600_539136F,3.0,Team 24,539136F,59,0.8813559322033898,2.0053335695261136,0.08198390253818362,0.036340852130325785,0.3595387118145604,1.3593930915262948,0.28785647935830455,0.151181938321741,3.342917216300118,0.9266456091048448,6.915254237288136
0924_1600_9M4VCHG,3.0,Team 24,9M4VCHG,130,0.43846153846153846,-0.24740817331384096,0.14248951054902062,0.8390804597701149,0.06901081608407762,1.8480760307697122,0.3060518064634804,0.6969389829872326,1.7525487677662912,0.999676819877901,0.046153846153846156
0924_1600_U9TEJGM,3.0,Team 24,U9TEJGM,123,0.6341463414634146,0.550046336919272,0.15466547275025788,0.0976744186046512,-0.1301861421574559,1.9680724520328772,0.2624748967863599,0.2698999377314757,2.264463783133433,0.999196570080299,0.16260162601626016
