subject_id,visit_number,team,user_id,n_trials,invest_rate,log_odds_invest,ev_sensitivity,ambiguity_aversion,choice_momentum,rt_mean,rt_cv,pupil_mean,pupil_cv,fixation_ratio,saccade_count
0731_1000_U9TEJGM,1.0,Team 6,U9TEJGM,126,0.5714285714285714,0.28768207245178085,-0.26277861593780594,0.30989956958393117,0.019957868080446323,2.4788255388888327,0.29428724235049086,0.38387150431304956,2.4719862840525004,0.9975120574650858,0.3888888888888889
0802_1400_U9TEJGM,2.0,Team 4,U9TEJGM,131,0.4961832061068702,-0.015267472130788308,0.16601592153434472,0.5190700104493209,0.22991983573337202,2.332018822137388,0.2475883502922032,0.4857259983070472,4.892918747200686,1.0,0.0
0811_1000_4LI8GO7,1.0,Team 8,4LI8GO7,121,0.7768595041322314,1.2474579162656747,0.28052850843619914,-0.21585365853658534,-0.04683381433547968,3.1864700280989795,0.23037304753722757,0.25220006750530416,2.179700513755319,0.9997412274903714,0.0743801652892562
0811_1000_U9TEJGM,1.0,Team 8,U9TEJGM,131,0.7099236641221374,0.89501333342687,-0.17420307423000064,0.4367816091954023,0.09168634788665857,1.926814396946368,0.41222671343718065,0.4917806877723114,1.9089743767341933,0.9987212173014043,0.37404580152671757
0813_1000_9M4VCHG,1.0,Team 10,9M4VCHG,123,0.5203252032520326,0.08134563945395261,-0.33369256426258864,0.3170731707317073,0.06433997113453828,3.466851428454473,0.20866076989404922,0.4089239188717173,4.013347788870274,0.9998654343493768,0.06504065040650407
0813_1000_U9TEJGM,1.0,Team 10,U9TEJGM,128,0.5234375,0.09381875521765491,0.19491076819240155,0.5425444596443229,0.004876535917407164,2.62310443750016,0.2925668667644918,0.38688139961635715,2.375679428833723,0.9985108074258182,0.2578125
0816_1400_539136F,2.0,Team 12,539136F,129,0.8682170542635659,1.8852855272388784,0.22772710405373892,0.19999999999999996,-0.09018281807678505,2.301178966668505,0.20944004778439457,0.17710497194681682,3.0622431509778183,0.9999575236274821,0.007751937984496124
0816_1400_9M4VCHG,2.0,Team 12,9M4VCHG,124,0.3790322580645161,-0.4936578201436253,-0.6535607732978582,-0.046224519092736116,0.08812579470896165,2.374397333064515,0.2581187567172612,0.23224567275971797,1.9671964170713048,0.9948502135080379,1.153225806451613
0816_1400_U9TEJGM,2.0,Team 12,U9TEJGM,125,0.696,0.8283219589281977,-0.4215670009670121,0.1351118760757315,-0.295323807993396,2.7073982407972217,0.2888213178408221,0.3215735281538163,1.7732324214825173,0.9986929764856748,0.336
0817_1000_539136F,1.0,Team 14,539136F,131,0.5648854961832062,0.2610138253696198,-0.440952025842836,0.312957157784744,-0.08155708962208834,2.39960029847273,0.19192565688199664,0.18783872924073192,3.2506361607723164,0.998862106664943,0.1984732824427481
0817_1000_9M4VCHG,1.0,Team 14,9M4VCHG,131,0.6335877862595419,0.5476395968887068,0.7730225506172625,0.03840125391849525,-0.10499033378522117,2.2651509755728267,0.23749924102900288,0.7045964174626113,1.3095845821203036,0.9980995576923617,0.48091603053435117
0817_1000_U9TEJGM,1.0,Team 14,U9TEJGM,119,0.6890756302521008,0.7958013346200287,0.1597605973124552,0.2510944340212633,0.023358402048722294,3.162627425208148,0.2272520106467177,0.4077437881767457,1.4665483086028541,0.997923157638512,0.5378151260504201
0818_1600_539136F,1.0,Team 7,539136F,132,0.6212121212121212,0.4946962418361071,0.10865025563145488,0.36363636363636365,-0.07032879620746789,1.6058414893937658,0.27694872106555857,0.43905552963544214,4.825436643033226,0.9999349720379764,0.015151515151515152
0818_1600_9M4VCHG,1.0,Team 7,9M4VCHG,90,0.6666666666666666,0.6931471805599452,-0.15769162258649638,0.33917467495760323,-0.061501744221387565,2.7070441155563456,0.2619093655025239,0.29291327824483593,2.541037119704653,0.9996333190355058,0.1111111111111111
0818_1600_U9TEJGM,1.0,Team 7,U9TEJGM,132,0.5227272727272727,0.09097177820572659,0.12470346699827344,0.6818181818181819,-0.08666205891593946,1.936295718940087,0.21971184334716481,0.6936261334894848,2.450332114177593,0.999978956228956,0.0
0819_1400_539136F,1.0,Team 15,539136F,129,0.5193798449612403,0.07755823434587464,0.22488263724392174,0.40697674418604646,-0.17367803198926693,2.1521306038748875,0.36291887419600666,0.5598687129290639,2.01287060008551,0.9980685192063931,0.4108527131782946
0819_1400_9M4VCHG,1.0,Team 15,9M4VCHG,103,0.4174757281553398,-0.33314444652853825,0.09112665417438415,0.23290043290043294,0.35383843202435966,2.7989760320393473,0.3307567745209114,0.40061691217198503,2.1005539361755337,0.9982118808391313,0.5436893203883495
0823_1400_539136F,2.0,Team 15,539136F,131,0.4198473282442748,-0.32340015505386027,-0.2712746185820061,0.3789640591966173,-0.21783110823192722,2.3629633206087663,0.26660490443214896,0.5341734197942826,2.020566591919518,0.9996486979651791,0.06870229007633588
0823_1400_9M4VCHG,2.0,Team 15,9M4VCHG,132,1.0,6.906754778648553,,0.0,,1.5259465901503009,0.2920651153592104,0.5125602675457297,2.4096497594656627,1.0,0.0
0823_1400_U9TEJGM,2.0,Team 15,U9TEJGM,123,0.5691056910569106,0.2782033284972371,0.6823854334999253,0.008734939759036053,-0.035928954848137094,1.5893074829236422,0.2683629919231004,0.5913536052781758,2.0428964912704632,1.0,0.0
0824_1000_539136F,1.0,Team 17,539136F,131,0.7099236641221374,0.89501333342687,0.15454939406046211,0.3279598308668076,-0.07232941279383033,2.4328409335851484,0.2546043462556518,0.41135925387871614,3.7879179149863065,0.9998078153788986,0.061068702290076333
0824_1000_9M4VCHG,1.0,Team 17,9M4VCHG,107,0.45794392523364486,-0.16862271243579283,0.5007858686319394,0.3384920634920635,0.049695408495699187,3.249721869151761,0.21139486014181363,0.6841171239561279,1.8037925853637673,0.9986910731687842,0.3925233644859813
0824_1000_U9TEJGM,1.0,Team 17,U9TEJGM,114,0.5701754385964912,0.28256697178501045,0.11896349455988245,0.43629343629343637,-0.15491507326195017,3.2190021350877687,0.2608829050996884,0.20642695976852282,3.8483848290864024,0.9997705557063632,0.07017543859649122
0824_1600_539136F,1.0,Team 19,539136F,131,0.48091603053435117,-0.07637297878457397,-0.4549870411057296,0.4393939393939394,0.09002339464994237,2.822829622139031,0.26037295819864714,0.49736684190216884,2.5911816608495446,0.9914408215288497,2.0839694656488548
0824_1600_9M4VCHG,1.0,Team 19,9M4VCHG,128,0.4609375,-0.15656906069153992,0.4240163799645265,0.1813953488372093,0.08069866355741981,3.119939681250017,0.19642647728810167,0.2842848201803685,2.903567412699039,0.9997377287278066,0.09375
0826_1000_539136F,3.0,Team 17,539136F,132,0.9848484848484849,4.174387269895638,-0.09805806756909201,0.022727272727272707,-0.01891400896977505,1.7935385068227665,0.25413683594866515,0.633076020346417,2.061178027389165,0.9996907561313616,0.06060606060606061
0826_1000_9M4VCHG,3.0,Team 17,9M4VCHG,127,0.47244094488188976,-0.11034805716886534,0.8542844493725399,0.041176470588235314,-0.12904434150555905,2.3658077582695403,0.2991295332402655,0.31600459004697756,2.0926196148007357,0.9973001049905159,0.5354330708661418
0826_1300_539136F,2.0,Team 18,539136F,132,0.6136363636363636,0.46262352194811307,-0.05412090967189471,-0.13636363636363635,-0.062309090489224506,1.4836128568100375,0.32789560760505754,0.45297704154860813,2.5304443815908755,0.9997402597402597,0.015151515151515152
0826_1300_9M4VCHG,2.0,Team 18,9M4VCHG,121,0.45454545454545453,-0.1823215567939546,0.20304180085963255,0.44135802469135804,-0.09046835805696823,2.806919486776633,0.31991540345494734,0.45595805067257056,1.3762154578976964,0.9968491385962918,0.6942148760330579
0826_1300_U9TEJGM,2.0,Team 18,U9TEJGM,78,0.5128205128205128,0.051293294387550266,0.21349950144510793,0.23529411764705876,0.11576297640326146,3.1054948987196744,0.2599342226287187,0.10307623566888001,5.211252202482266,0.9923352976467419,2.2948717948717947
0827_1000_539136F,1.0,Team 16,539136F,128,0.84375,1.6863989535702288,0.013449302829892937,-0.021306419960751333,0.44360208470679313,2.368824132034206,0.35629712878858044,0.37804270348605934,2.373686111524713,0.9988687913256034,0.359375
0827_1000_9M4VCHG,1.0,Team 16,9M4VCHG,131,0.5648854961832062,0.2610138253696198,0.07032336434396642,0.5525078369905956,-0.295382768202721,1.9721722877857664,0.24870503837339875,0.5259471782070113,4.894493827918652,0.999756921099206,0.022900763358778626
0827_1000_U9TEJGM,1.0,Team 16,U9TEJGM,122,0.819672131147541,1.5141277326297755,0.06474269543576447,0.12466124661246614,-0.11606073584265277,3.4508095385244815,0.18528866643931197,0.37585042666584206,3.5834537366885946,0.9999796607411626,0.0
0828_1300_9M4VCHG,2.0,Team 16,9M4VCHG,113,0.2743362831858407,-0.972732042779107,0.4824428533775843,-0.0060455192034139515,0.1905709074485642,2.119702089379595,0.23639707872067933,0.4746596745035817,1.7948305711387853,0.999371062359175,0.10619469026548672
0828_1300_U9TEJGM,2.0,Team 16,U9TEJGM,74,0.7972972972972973,1.3694872428035092,0.24436752878363457,0.15372670807453426,-0.08461021587793592,3.5048963364876013,0.24010988828389568,0.28907855074275585,4.62986399863238,0.9997523701712183,0.04054054054054054
0830_1300_539136F,1.0,Team 21,539136F,126,0.7222222222222222,0.9555114450274362,0.41851610116330534,0.3394548063127689,-0.02570759588086085,2.823498453968193,0.2587160768263709,0.5309377066487334,1.4711974611251584,0.9968063575176459,0.6666666666666666
0830_1300_9M4VCHG,1.0,Team 21,9M4VCHG,131,0.6793893129770993,0.7509667514487716,0.046254547822629694,0.48275862068965514,-0.012818572398855138,2.077922765647669,0.2982680219722319,0.3760861749037323,2.593993952455134,0.9997705980193862,0.061068702290076333
0830_1300_U9TEJGM,1.0,Team 21,U9TEJGM,129,0.5736434108527132,0.29673190797169885,0.17858304009576395,0.6046511627906976,0.09142277395582193,2.502946737209288,0.3085078230343875,0.3892787436343209,2.42770753360189,0.9996685078549569,0.046511627906976744
0831_1300_539136F,2.0,Team 21,539136F,130,0.8153846153846154,1.4853852637641214,0.4472228988259061,0.14164904862579275,-0.029383865188806754,2.0644823946146063,0.2587837516000875,0.526790398784978,1.662694898001473,0.9990901246051891,0.15384615384615385
0831_1300_9M4VCHG,2.0,Team 21,9M4VCHG,119,0.6974789915966386,0.8353216693404878,-0.051607694136234575,0.3737179487179487,-0.003978171651676477,1.877658962186019,0.29340620698223535,0.45822431713190687,1.7964136473863435,0.9996062864000552,0.07563025210084033
0831_1300_U9TEJGM,2.0,Team 21,U9TEJGM,129,0.5271317829457365,0.10863384100279556,0.19929586226052987,0.6744186046511628,0.13670780176538633,2.302709020930974,0.2968790852937992,0.3780186884490512,2.3435516621257433,0.9985518527393399,0.21705426356589147
0901_1000_539136F,2.0,Team 20,539136F,125,0.624,0.5065612249795332,-0.28841960476771805,0.1239837398373983,0.10569260951140617,2.49242280239868,0.29995689109591606,0.46941985901233263,1.9624179582143484,0.9991255476859728,0.168
0901_1000_9M4VCHG,2.0,Team 20,9M4VCHG,124,0.5967741935483871,0.39204208777602384,0.7634980120407165,0.16514839847193652,-0.18136782703015406,2.1650598903220417,0.2771384244041803,0.39931124019382114,1.4152603566005013,0.9998754514883547,0.03225806451612903
0901_1000_U9TEJGM,2.0,Team 20,U9TEJGM,132,0.9090909090909091,2.3025850929940455,-0.10833333333333335,0.10227272727272729,-0.015404074436072885,1.8013759553022366,0.23490503140123645,0.6502864182807211,2.0669285014685186,0.9997896722957805,0.05303030303030303
0901_1300_539136F,3.0,Team 21,539136F,116,0.8275862068965517,1.5686159179138452,0.3760964218168554,0.1868421052631578,-0.0949504747228971,2.1082269198264716,0.28513012586980707,0.2999901788544525,1.7820097059968267,0.9879470194206568,3.25
0901_1300_9M4VCHG,3.0,Team 21,9M4VCHG,124,0.3790322580645161,-0.4936578201436253,0.0387060228250077,-0.4933881868939171,0.13562038188855782,1.8524116483946977,0.2364650933360929,0.7426624608900693,1.9281681401086428,0.9991712907226913,0.10483870967741936
0901_1300_U9TEJGM,3.0,Team 21,U9TEJGM,128,0.4609375,-0.15656906069153992,0.5273051515781857,0.25143638850889194,-0.04548470127781845,2.403191625782256,0.29855381190184266,0.44848390702177965,2.399703340683358,0.9997895780943109,0.03125
