Visit,N_subjects,N_trials,Accuracy,F1_Score,Mean_Subject_Acc,Std_Subject_Acc
1,49,6317,0.6683552319138831,0.6478614321200806,0.6695525682977774,0.10556812016323583
2,34,4495,0.7045606229143493,0.6581237808111948,0.693813749678412,0.18249659611345814
3,8,939,0.5601703940362087,0.539857725771525,0.5824807781437206,0.15010075052642785
