Method,Accuracy,F1-Score
Physiology Only,0.516586152963096,0.4998784311692362
Behavior Only,0.7065981134006739,0.7023378814202623
Gaze Only,0.6173232790059314,0.6185377412478615
Average Fusion,0.7106846571785453,0.7008612561673602
Weighted Fusion,0.7418752146334167,0.7306353042448546
Stacking,0.7229014257444878,0.7182172941060104
