Method,Accuracy,Accuracy SEM,F1-Score,Physio Weight,Behavior Weight,Gaze Weight,N Trials
Full Window (Baseline),0.7408425611009551,0.013397365926425146,0.7302598805835585,0.010281139099306162,0.6844437010445771,0.30527515985611675,10048
Time-Aligned,0.740214630589555,0.01308653986397308,0.7304692877749082,0.007719719298111225,0.6856935891779957,0.3065866915238931,10048
