subject_id,accuracy,visit_number
0731_1000_U9TEJGM,0.6904761904761905,1
0811_1000_4LI8GO7,0.7355371900826446,1
0811_1000_U9TEJGM,0.7938931297709924,1
0813_1000_9M4VCHG,0.6504065040650406,1
0813_1000_U9TEJGM,0.7421875,1
0817_1000_539136F,0.5648854961832062,1
0817_1000_9M4VCHG,0.5877862595419847,1
0817_1000_U9TEJGM,0.7563025210084033,1
0818_1600_539136F,0.9015151515151515,1
0818_1600_9M4VCHG,0.8222222222222222,1
0818_1600_U9TEJGM,0.803030303030303,1
0819_1400_539136F,0.6434108527131783,1
0819_1400_9M4VCHG,0.5339805825242718,1
0824_1000_539136F,0.8091603053435115,1
0824_1000_9M4VCHG,0.6822429906542056,1
0824_1000_U9TEJGM,0.7807017543859649,1
0824_1600_539136F,0.6641221374045801,1
0824_1600_9M4VCHG,0.6015625,1
0827_1000_539136F,0.7265625,1
0827_1000_9M4VCHG,0.8396946564885496,1
0827_1000_U9TEJGM,0.7868852459016393,1
0830_1300_539136F,0.6904761904761905,1
0830_1300_9M4VCHG,0.8854961832061069,1
0830_1300_U9TEJGM,0.751937984496124,1
0915_1000_539136F,0.5630252100840336,1
0915_1000_9M4VCHG,0.9923664122137404,1
0915_1000_U9TEJGM,0.6951219512195121,1
0920_1600_539136F,0.8125,1
0920_1600_9M4VCHG,0.8671875,1
0920_1600_U9TEJGM,0.7479674796747967,1
0922_1000_539136F,0.8130081300813008,1
0922_1000_9M4VCHG,0.8217054263565892,1
0922_1000_U9TEJGM,0.6818181818181818,1
0927_0930_539136F,0.7938931297709924,1
0927_0930_U9TEJGM,0.5757575757575758,1
0928_1600_539136F,0.5636363636363636,1
0928_1600_9M4VCHG,0.7777777777777778,1
0928_1600_U9TEJGM,0.7741935483870968,1
0802_1400_U9TEJGM,0.7175572519083969,2
0816_1400_539136F,0.8449612403100775,2
0816_1400_9M4VCHG,0.45161290322580644,2
0816_1400_U9TEJGM,0.568,2
0823_1400_539136F,0.5877862595419847,2
0823_1400_9M4VCHG,1.0,2
0823_1400_U9TEJGM,0.6016260162601627,2
0826_1300_539136F,0.6136363636363636,2
0826_1300_9M4VCHG,0.7603305785123967,2
0826_1300_U9TEJGM,0.5641025641025641,2
0828_1300_9M4VCHG,0.49557522123893805,2
0828_1300_U9TEJGM,0.7702702702702703,2
0831_1300_539136F,0.823076923076923,2
0831_1300_9M4VCHG,0.7142857142857143,2
0831_1300_U9TEJGM,0.6821705426356589,2
0901_1000_539136F,0.632,2
0901_1000_9M4VCHG,0.5887096774193549,2
0901_1000_U9TEJGM,0.9090909090909091,2
0917_1030_539136F,0.6106870229007634,2
0917_1030_9M4VCHG,1.0,2
0917_1030_U9TEJGM,0.7209302325581395,2
0923_1000_539136F,0.9618320610687023,2
0923_1000_9M4VCHG,0.9312977099236641,2
0923_1000_U9TEJGM,0.78125,2
0923_1600_539136F,0.743801652892562,2
0923_1600_U9TEJGM,0.703125,2
0930_1700_539136F,1.0,2
0930_1700_9M4VCHG,0.7321428571428571,2
0930_1700_U9TEJGM,0.6504065040650406,2
1005_1600_9M4VCHG,0.8048780487804879,2
1005_1600_U9TEJGM,1.0,2
0826_1000_539136F,0.9848484848484849,3
0826_1000_9M4VCHG,0.6850393700787402,3
0901_1300_539136F,0.8275862068965517,3
0901_1300_9M4VCHG,0.4435483870967742,3
0901_1300_U9TEJGM,0.6875,3
0924_1000_539136F,0.6875,3
0924_1000_9M4VCHG,0.9846153846153847,3
0924_1000_U9TEJGM,0.7333333333333333,3
0924_1600_539136F,0.864406779661017,3
0924_1600_9M4VCHG,0.6,3
0924_1600_U9TEJGM,0.6260162601626016,3
