visit,n_subjects,n_trials,accuracy_mean,accuracy_sem,f1_mean,f1_sem
1,38,4597,0.7348535536386427,0.017352654908210037,0.7313600054137397,0.017294192398800663
2,31,3704,0.7408110814467013,0.028155933106572252,0.7171503155026964,0.029142192726915272
3,11,1317,0.7385812915175353,0.049723525101941175,0.7048814839056357,0.05002121913862854
