modality,feature,bin_idx,time_label,invest_mean,keep_mean,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
pupil,pupil_mean,0,-2.0s to -1.5s,0.9602922604562167,0.8067882885095564,6.9603957616556755,3.6051896202498367e-12,0.14355223964063835,0.14355223964063835,True,True
pupil,pupil_mean,1,-1.5s to -1.0s,0.3529701494520767,0.2939674931299222,5.288707892121316,1.257729672373609e-07,0.10907509985302061,0.10907509985302061,True,True
pupil,pupil_mean,2,-1.0s to -0.5s,0.23196315621990604,0.2627408818770101,-3.9410318292149404,8.168161973398069e-05,-0.08128042785950325,0.08128042785950325,True,True
pupil,pupil_mean,3,-0.5s to 0.0s,0.36826829805541605,0.41401669999039714,-5.218837356305478,1.8364326433596093e-07,-0.10763407950809858,0.10763407950809858,True,True
pupil,pupil_median,0,-2.0s to -1.5s,0.9637254360296605,0.8031249679782877,6.90268731489691,5.41108505520592e-12,0.1423620520331979,0.1423620520331979,True,True
pupil,pupil_median,1,-1.5s to -1.0s,0.32577911196248405,0.2661671754919523,4.884718559293003,1.0517497938016412e-06,0.10074316363785395,0.10074316363785395,True,True
pupil,pupil_median,2,-1.0s to -0.5s,0.2287475361724291,0.2599615985737891,-3.8493421788688633,0.00011916959088173368,-0.07938940684435405,0.07938940684435405,True,True
pupil,pupil_median,3,-0.5s to 0.0s,0.36739600537063155,0.41454653733106456,-5.228747024995271,1.740941285104355e-07,-0.10783845799220047,0.10783845799220047,True,True
pupil,pupil_std,0,-2.0s to -1.5s,0.30080238729168124,0.2987206036359037,0.3162991069333061,0.7517820604579153,0.006523399926013578,0.006523399926013578,False,False
pupil,pupil_std,1,-1.5s to -1.0s,0.3126149065645314,0.2828841415304303,4.823330039722042,1.4325548201416619e-06,0.09947707766021718,0.09947707766021718,True,True
pupil,pupil_std,2,-1.0s to -0.5s,0.15165313487158932,0.15663536168182046,-2.2853907774833897,0.02231066128023245,-0.04713424003404101,0.04713424003404101,True,False
pupil,pupil_std,3,-0.5s to 0.0s,0.14154991469238323,0.1452955095932049,-1.8566078395881553,0.0633962211806206,-0.03829095681246856,0.03829095681246856,False,False
pupil,pupil_range,0,-2.0s to -1.5s,0.9328318876702119,0.92532476134281,0.3872979930713652,0.6985438156222149,0.007987691536162574,0.007987691536162574,False,False
pupil,pupil_range,1,-1.5s to -1.0s,0.9546829167201871,0.8690551854806748,4.857901321525941,1.204285421299414e-06,0.1001900809290165,0.1001900809290165,True,True
pupil,pupil_range,2,-1.0s to -0.5s,0.4739123283481514,0.4879545560852943,-2.193436896450095,0.02829875079956956,-0.045237769485814844,0.045237769485814844,True,False
pupil,pupil_range,3,-0.5s to 0.0s,0.43674694329098857,0.4480859324700512,-1.9505963135792856,0.05113285380746902,-0.040229389109114756,0.040229389109114756,False,False
pupil,pupil_cv,0,-2.0s to -1.5s,1.7217979066709144,2.833991577094469,-2.499610373913368,0.012448821087377654,-0.051552336920405714,0.051552336920405714,True,False
pupil,pupil_cv,1,-1.5s to -1.0s,4.461884106143094,3.3866169069304557,1.162929540072867,0.2448857139895435,0.023984432169990154,0.023984432169990154,False,False
pupil,pupil_cv,2,-1.0s to -0.5s,3.1282491620676884,2.934455017879335,0.27529712488138225,0.7830936349505048,0.005677768936798269,0.005677768936798269,False,False
pupil,pupil_cv,3,-0.5s to 0.0s,1.624215666589247,1.3943899014105945,0.513898316151631,0.6073343877100073,0.010598715469243866,0.010598715469243866,False,False
pupil,pupil_slope,0,-2.0s to -1.5s,-1.0468987366022275,-0.9997374896693514,-0.7620549868772905,0.4460450770343203,-0.015716735634229293,0.015716735634229293,False,False
pupil,pupil_slope,1,-1.5s to -1.0s,-1.0974777248279994,-0.7980441471419029,-5.724383261539486,1.067869511417433e-08,-0.11806053360964423,0.11806053360964423,True,True
pupil,pupil_slope,2,-1.0s to -0.5s,0.35474490497620037,0.42814508346991376,-3.4051957722961896,0.0006637537732392739,-0.07022926515484146,0.07022926515484146,True,False
pupil,pupil_slope,3,-0.5s to 0.0s,0.1290489243349095,0.09176058468748048,1.7799484642221786,0.07511461404332428,0.03670992242878279,0.03670992242878279,False,False
pupil,pupil_velocity_mean,0,-2.0s to -1.5s,0.041604315190074535,0.0409959484939237,0.7279447438794472,0.46666437760347745,0.015013240898484262,0.015013240898484262,False,False
pupil,pupil_velocity_mean,1,-1.5s to -1.0s,0.03808294943950151,0.03525225505366442,4.538164765427888,5.740495962537753e-06,0.09359578653907479,0.09359578653907479,True,True
pupil,pupil_velocity_mean,2,-1.0s to -0.5s,0.02137596863933673,0.0218978915078174,-1.911663996329194,0.05594772513708657,-0.03942644319525753,0.03942644319525753,False,False
pupil,pupil_velocity_mean,3,-0.5s to 0.0s,0.019978325176450026,0.020647645000819087,-2.667319528820604,0.007658153400711954,-0.055011195528388915,0.055011195528388915,True,False
pupil,pupil_velocity_std,0,-2.0s to -1.5s,0.037128420369565804,0.0372979094370527,-0.24795510102459373,0.8041742140583686,-0.0051138629614265315,0.0051138629614265315,False,False
pupil,pupil_velocity_std,1,-1.5s to -1.0s,0.03422916542564101,0.0320665760259101,3.9527361293379797,7.779208409879056e-05,0.08152181908977561,0.08152181908977561,True,True
pupil,pupil_velocity_std,2,-1.0s to -0.5s,0.02086675214997191,0.02116613144477762,-0.9873506478500506,0.3234945485496705,-0.020363266926620136,0.020363266926620136,False,False
pupil,pupil_velocity_std,3,-0.5s to 0.0s,0.019692576846886377,0.020481040989965366,-2.830701053932484,0.004653834176611131,-0.058380800454436194,0.058380800454436194,True,False
pupil,pupil_max_dilation_rate,0,-2.0s to -1.5s,0.03421062211460242,0.03566467935105886,-1.3132148615555137,0.1891405509482236,-0.027083939040389072,0.027083939040389072,False,False
pupil,pupil_max_dilation_rate,1,-1.5s to -1.0s,0.0340489529537432,0.0362323420749244,-2.9315234374738246,0.003380644103510546,-0.060460176320245314,0.060460176320245314,True,False
pupil,pupil_max_dilation_rate,2,-1.0s to -0.5s,0.039053920477368595,0.04097700830104625,-3.147353222222065,0.0016523755554264297,-0.06491148197048566,0.06491148197048566,True,False
pupil,pupil_max_dilation_rate,3,-0.5s to 0.0s,0.03510674028352276,0.035614074000063244,-0.9104273202428244,0.3626190384249834,-0.018776788752568548,0.018776788752568548,False,False
pupil,pupil_max_constriction_rate,0,-2.0s to -1.5s,0.08377792564892816,0.08331488598861773,0.2648242656183653,0.7911502759186497,0.005461775126370215,0.005461775126370215,False,False
pupil,pupil_max_constriction_rate,1,-1.5s to -1.0s,0.07499125974609382,0.06646086849548845,5.517841025171391,3.5170715574514724e-08,0.11380077574151212,0.11380077574151212,True,True
pupil,pupil_max_constriction_rate,2,-1.0s to -0.5s,0.029640150898405215,0.028679876031842706,1.6324217111566113,0.1026220193723025,0.033667308684584424,0.033667308684584424,False,False
pupil,pupil_max_constriction_rate,3,-0.5s to 0.0s,0.028151618241951094,0.02983097198929017,-3.287298398062052,0.001015008992087946,-0.06779773213594383,0.06779773213594383,True,False
pupil,pupil_acceleration_mean,0,-2.0s to -1.5s,0.007197622631082827,0.007258575927407692,-0.49578010180970306,0.6200604105298813,-0.010225042716122398,0.010225042716122398,False,False
pupil,pupil_acceleration_mean,1,-1.5s to -1.0s,0.006466481386231118,0.006181341113070008,2.7755357076707323,0.005521277829131769,0.05724306213069725,0.05724306213069725,True,False
pupil,pupil_acceleration_mean,2,-1.0s to -0.5s,0.004256532150800431,0.004353759745994634,-1.535017479045603,0.12481102594676877,-0.03165842928335254,0.03165842928335254,False,False
pupil,pupil_acceleration_mean,3,-0.5s to 0.0s,0.0038899011747033085,0.0040456717141923,-2.834364805550174,0.0046008490553700295,-0.05845636221388439,0.05845636221388439,True,False
pupil,pct_time_dilating,0,-2.0s to -1.5s,0.4798402871048951,0.48062403784420776,-0.12348511675868878,0.901725429537178,-0.002546775453581229,0.002546775453581229,False,False
pupil,pct_time_dilating,1,-1.5s to -1.0s,0.44547715024317575,0.48076428203808547,-5.822671175517998,5.969041784016396e-09,-0.12008763819742496,0.12008763819742496,True,True
pupil,pct_time_dilating,2,-1.0s to -0.5s,0.5908458572492661,0.6129053010808028,-4.285104483901794,1.843555489737731e-05,-0.08837663357405429,0.08837663357405429,True,True
pupil,pct_time_dilating,3,-0.5s to 0.0s,0.5433993981635067,0.5436985331960885,-0.05775248618017251,0.9539469341159714,-0.0011910958830316151,0.0011910958830316151,False,False
pupil,pupil_min,0,-2.0s to -1.5s,0.4873579034641922,0.3483042717907486,6.3854663725973255,1.7843125836989132e-10,0.13169481022703872,0.13169481022703872,True,True
