modality,feature,invest_mean,invest_std,keep_mean,keep_std,difference,t_statistic,p_value,cohens_d,abs_cohens_d,n_invest,n_keep,significant_uncorrected,significant_bonferroni,significant_fdr
pupil,pupil_mean_pre,0.4439906770727194,0.3126736845658594,0.41188471069661375,0.3070899700090116,0.03210596637610563,5.41021722845297,6.414664027405897e-08,0.10331782330265124,0.10331782330265124,7910,4197,True,True,True
pupil,pupil_std_pre,0.6684195028522105,0.39520203597228604,0.5781181170708737,0.3399887767712174,0.09030138578133684,12.543404821303325,7.218312304652115e-36,0.23953886289915466,0.23953886289915466,7910,4197,True,True,True
pupil,pupil_slope_pre,-0.7643786527706921,1.1414310860635628,-0.4377118783945061,0.952277666229783,-0.32666677437618596,-15.84426502575816,5.617779293099658e-56,-0.3025747220800135,0.3025747220800135,7910,4197,True,True,True
pupil,time_to_peak_pre,0.5693574561527457,0.6599521413153544,0.6778622023127052,0.711180697274415,-0.10850474615995953,-8.378449849318491,5.952219660626307e-17,-0.16000156084851697,0.16000156084851697,7910,4197,True,True,True
pupil,pupil_cv_pre,3.3541958416694917,29.243050468446313,3.2970062957887443,19.623765022702408,0.05718954588074743,0.11382437270057169,0.9093789051912029,0.0021736810057025263,0.0021736810057025263,7910,4197,False,False,False
pupil,pupil_velocity_mean_pre,0.0341055413453266,0.016209144528514158,0.0317601465398269,0.015013040096172691,0.0023453948054996954,7.7708178427657675,8.426725468477198e-15,0.14839773541321163,0.14839773541321163,7910,4197,True,True,True
pupil,pupil_max_dilation_rate_pre,0.06273860526669157,0.05678510843654925,0.06521746787398858,0.0488685771230017,-0.0024788626072970027,-2.3961606978351653,0.016582907969869623,-0.045758995827692786,0.045758995827692786,7910,4197,True,False,True
pupil,pupil_max_constriction_rate_pre,0.13562602622398143,0.08158642180625876,0.12531858936738183,0.08106451151975347,0.0103074368565996,6.630317329500415,3.4919848411928846e-11,0.12661782796579352,0.12661782796579352,7910,4197,True,True,True
pupil,pupil_acceleration_std_pre,0.008186858394495719,0.004255553142515441,0.007881899914766524,0.004388222287278429,0.0003049584797291949,3.712011844709167,0.00020654038978540362,0.07088753883153696,0.07088753883153696,7910,4197,True,True,True
pupil,pct_time_dilating_pre,0.49167112004558367,0.11070791733793992,0.5134087122871689,0.10565413833472015,-0.021737592241585224,-10.444641373382291,1.9883319614040057e-25,-0.19945920215540797,0.19945920215540797,7910,4197,True,True,True
pupil,num_dilation_peaks_pre,2.954740834386852,1.22455372559535,3.1358112937812725,1.2222698767877471,-0.18107045939442035,-7.748005139806871,1.007825749708942e-14,-0.1479620858424388,0.1479620858424388,7910,4197,True,True,True
pupil,eye_asymmetry_pre,0.27925494441575166,0.21389764448675794,0.2808779949689892,0.19455081808798386,-0.0016230505532375261,-0.40979950604775844,0.681960280196794,-0.007825858217427418,0.007825858217427418,7910,4197,False,False,False
pupil,eye_asymmetry_std_pre,0.3013543538670456,0.30280427000240445,0.299805917826688,0.22260823814665992,0.001548436040357648,0.29204428450003966,0.7702577697422092,0.005577110586953689,0.005577110586953689,7910,4197,False,False,False
