modality,feature,invest_mean,invest_std,keep_mean,keep_std,difference,t_statistic,p_value,cohens_d,abs_cohens_d,n_invest,n_keep,significant_uncorrected,significant_bonferroni,significant_fdr
eeg,eeg_Delta_Frontal,0.10187285394660764,0.24528848629375355,0.12255148943513743,0.4191757920859439,-0.020678635488529787,-3.094465218404802,0.0019771665467745976,-0.0655404684494909,0.0655404684494909,6540,3382,True,False,True
eeg,eeg_Delta_Central,0.08901340903144957,0.23261308222007876,0.10788465327092285,0.2962299262376384,-0.018871244239473284,-3.4794145272437573,0.0005046688261099523,-0.07369365688429867,0.07369365688429867,6540,3382,True,True,True
eeg,eeg_Delta_Parietal,0.09661328824424867,0.20384479061502608,0.12069752271630382,0.48259736911676826,-0.024084234472055155,-3.480056297430836,0.0005034629375504422,-0.0737072495136318,0.0737072495136318,6540,3382,True,True,True
eeg,eeg_Delta_Occipital,0.11137532361656682,0.22764117658158878,0.12865580024232634,0.42462285430949104,-0.017280476625759517,-2.6386220351303065,0.008337377451810669,-0.055885754738823075,0.055885754738823075,6540,3382,True,False,True
eeg,eeg_Theta_Frontal,0.04710796006141861,0.09054142701440607,0.05441626485381884,0.10075114439350999,-0.00730830479240023,-3.665156841688494,0.00024847695888822915,-0.07762766080432858,0.07762766080432858,6540,3382,True,True,True
eeg,eeg_Theta_Central,0.042237017541279835,0.08578053461206694,0.05009882162241393,0.09631011874217561,-0.007861804081134093,-4.146997442729772,3.3966938601756437e-05,-0.08783299726195053,0.08783299726195053,6540,3382,True,True,True
eeg,eeg_Theta_Parietal,0.04868898514604376,0.09341190487975012,0.0549324314137323,0.09622196399170227,-0.006243446267688545,-3.123380224177844,0.0017930136450668304,-0.06615288542296777,0.06615288542296777,6540,3382,True,False,True
eeg,eeg_Theta_Occipital,0.056629115389523504,0.10275399114764537,0.06140760798090735,0.10316523735300644,-0.004778492591383847,-2.192681225513926,0.02835349593162467,-0.04644077232662151,0.04644077232662151,6540,3382,True,False,True
eeg,eeg_Alpha_Frontal,0.04273154029868819,0.0872728818869091,0.044011056313173494,0.08576969921060894,-0.0012795160144853032,-0.6962814322307481,0.4862689122212907,-0.014747172134838327,0.014747172134838327,6540,3382,False,False,False
eeg,eeg_Alpha_Central,0.040605709159591705,0.08481984976425064,0.044208118896949616,0.08970471508380001,-0.0036024097373579117,-1.965957374249167,0.04933138112650833,-0.04163878349437181,0.04163878349437181,6540,3382,True,False,False
eeg,eeg_Alpha_Parietal,0.050036266118802845,0.10361675776220072,0.05153592221456142,0.10091366114774233,-0.0014996560957585767,-0.6894180599112495,0.4905763470733788,-0.014601806585312096,0.014601806585312096,6540,3382,False,False,False
eeg,eeg_Alpha_Occipital,0.052392185312438805,0.11190551059578868,0.049708825844364125,0.0937089536088213,0.0026833594680746795,1.1946042170834286,0.23227026215927,0.02530159962170985,0.02530159962170985,6540,3382,False,False,False
eeg,eeg_Beta_Frontal,0.050037598171066615,0.1994457793839933,0.05916779700666401,0.13978154222245,-0.009130198835597396,-2.3773214295813303,0.017457730565306896,-0.05035143365744286,0.05035143365744286,6540,3382,True,False,True
eeg,eeg_Beta_Central,0.05490580177468779,0.2958776557625759,0.0675593668174074,0.2516936737538333,-0.012653565042719611,-2.12157679845435,0.03389801607626297,-0.04493478756692865,0.04493478756692865,6540,3382,True,False,False
eeg,eeg_Beta_Parietal,0.049216129634092685,0.10857741088953084,0.06204449511275729,0.1628356985093429,-0.012828365478664602,-4.671826412822233,3.0246014555743274e-06,-0.09894882314072889,0.09894882314072889,6540,3382,True,True,True
eeg,eeg_Beta_Occipital,0.04642175095614443,0.10497805319062335,0.0539718689458172,0.09946728430892902,-0.007550117989672769,-3.45646761918568,0.0005495982128030062,-0.07320764363242922,0.07320764363242922,6540,3382,True,True,True
