Feature,F_Score,L1_Coef
screen_y_mean,13.843103274078166,0.08525574857433844
gaze_dispersion_x,12.064825605924455,0.3622661637512407
gaze_dispersion_y,8.183597419538055,0.22971772508822316
gaze_velocity_max,7.266470678462557,0.05503308000393708
gaze_x_std,3.764815727485747,0.0999066897357762
screen_x_mean,3.7605533435319654,0.06519438114483395
screen_x_std,1.620258583641796,0.36382420174980196
gaze_velocity_mean,1.5684256213862182,1.1572277379168905
fixation_ratio,1.5681876821207357,0.1899210944741816
saccade_ratio,1.5383901689679202,0.07709349211223925
screen_y_std,0.9625938155435696,0.32294917013462926
gaze_y_std,0.9413034655286054,0.01741377624726149
gaze_acceleration_mean,0.882228498795093,0.27098549050440623
gaze_acceleration_std,0.5118600804185042,0.1340042179096495
gaze_x_mean,0.4186591988608341,0.056090317379676534
gaze_velocity_std,0.3982324990304337,0.289364763628405
gaze_y_mean,0.046499597334098496,0.025179251218320556
gaze_path_length,0.017469999274222027,1.173759604582939
saccade_count,0.009596473738201322,0.24292096983118497
gaze_valid_pct,,0.0
