Group,RT_Min,RT_Max,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight,EEG_Weight
Fast,0.14425219999975525,1.399297200026922,5216,82,0.7244738227863794,0.021719496224653558,0.19547546602188204,0.7145689662090403,0.023705841649104,0.014657059656263518,0.9553643558753523,0.006414089485757106,0.02356449498262717
Slow,1.3993225999874994,4.57559379999293,5215,82,0.6431866244027264,0.016960812313479394,0.15264731082131455,0.6345322555327083,0.01914789855073503,0.06047039620351868,0.9075338136761594,0.0253788016276286,0.006616988492693514
