EEG Features,N EEG Features,Method,Accuracy,Accuracy SEM,F1-Score
Regional,16,Weighted,0.6980444669782373,0.015032213002162391,0.6847609146128069
Regional,16,Stacking,0.6310575469326642,0.014731138787164698,0.6446285521950369
Regional+Channels,96,Weighted,0.6986943170933834,0.01488746500779999,0.685365655503638
Regional+Channels,96,Stacking,0.6311151767001212,0.014524304485515829,0.6444985688365464
Non-temporal,96,Weighted,0.6976494294380378,0.014904669828390187,0.6842416505676719
Non-temporal,96,Stacking,0.6316819862395023,0.014537121988796088,0.645278984779869
