Group,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight,EEG_Weight
Low,398,10,0.8194614383638774,0.04764505999760027,0.1429351799928008,0.7456661169857408,0.06346254981728801,0.040573762172028606,0.595266889563135,0.17970311439456607,0.18445623387027035
Medium,396,10,0.7993985015060783,0.04807107692057326,0.1442132307617198,0.7201306560422249,0.06566468566683979,0.32158777585929615,0.584912669992786,0.0399134302543441,0.0535861238935738
High,379,10,0.5745567562440627,0.06776872259535478,0.2033061677860644,0.4995321593352712,0.08666100950545441,0.43932424025931216,0.09180788160952687,0.22881884241095934,0.24004903572020164
