Modality,Average,Weighted,Stacking
Physiology,0.25,0.01544464744425451,0.07515406182296794
Behavior,0.25,0.957796954240742,0.7597506621444594
Gaze,0.25,0.009160489952171334,0.07929808209663498
EEG,0.25,0.017597908362832128,0.0857971939359377
