modality,n_features,within_mean,cross_mean,delta_mean,delta_sem,t,p
behavior_only,11,0.7181995895769767,0.728879687208435,0.010680097631458297,0.009953136619242678,1.0730383837804625,0.2918098214088807
gaze+behavior,31,0.7400567088985299,0.7586549970272373,0.018598288128707514,0.010406082641566871,1.7872516266992786,0.08400503633868422
all_features,44,0.7383327447518871,0.7644512730097138,0.026118528257826505,0.009164322275956288,2.850022890001548,0.007830134507195963
