subject_id,accuracy_cross,accuracy_within,n_trials,delta,modality
0802_1400_U9TEJGM,0.7404580152671756,0.7022900763358778,131,0.038167938931297773,behavior_only
0816_1400_539136F,0.8837209302325582,0.8604651162790697,129,0.023255813953488413,behavior_only
0816_1400_9M4VCHG,0.4032258064516129,0.4032258064516129,124,0.0,behavior_only
0816_1400_U9TEJGM,0.656,0.656,125,0.0,behavior_only
0823_1400_539136F,0.5954198473282443,0.6183206106870229,131,-0.022900763358778664,behavior_only
0823_1400_9M4VCHG,0.9848484848484849,0.9924242424242424,132,-0.007575757575757569,behavior_only
0823_1400_U9TEJGM,0.5772357723577236,0.6260162601626016,123,-0.04878048780487798,behavior_only
0826_1300_539136F,0.5151515151515151,0.5227272727272727,132,-0.007575757575757569,behavior_only
0826_1300_9M4VCHG,0.7851239669421488,0.6611570247933884,121,0.12396694214876036,behavior_only
0826_1300_U9TEJGM,0.47435897435897434,0.5384615384615384,78,-0.0641025641025641,behavior_only
0828_1300_9M4VCHG,0.6194690265486725,0.45132743362831856,113,0.16814159292035397,behavior_only
0828_1300_U9TEJGM,0.7432432432432432,0.7567567567567568,74,-0.013513513513513598,behavior_only
0831_1300_539136F,0.8076923076923077,0.8076923076923077,130,0.0,behavior_only
0831_1300_9M4VCHG,0.8403361344537815,0.680672268907563,119,0.15966386554621848,behavior_only
0831_1300_U9TEJGM,0.7054263565891473,0.7131782945736435,129,-0.007751937984496138,behavior_only
0901_1000_539136F,0.592,0.648,125,-0.05600000000000005,behavior_only
0901_1000_9M4VCHG,0.6048387096774194,0.6209677419354839,124,-0.016129032258064502,behavior_only
0901_1000_U9TEJGM,0.8863636363636364,0.9090909090909091,132,-0.022727272727272707,behavior_only
0917_1030_539136F,0.5114503816793893,0.5343511450381679,131,-0.022900763358778664,behavior_only
0917_1030_9M4VCHG,0.9922480620155039,1.0,129,-0.007751937984496138,behavior_only
0917_1030_U9TEJGM,0.6821705426356589,0.6666666666666666,129,0.015503875968992276,behavior_only
0923_1000_539136F,0.9465648854961832,0.9465648854961832,131,0.0,behavior_only
0923_1000_9M4VCHG,0.9007633587786259,0.9312977099236641,131,-0.03053435114503822,behavior_only
0923_1000_U9TEJGM,0.7109375,0.703125,128,0.0078125,behavior_only
0923_1600_539136F,0.7272727272727273,0.6942148760330579,121,0.03305785123966942,behavior_only
0923_1600_U9TEJGM,0.6953125,0.6015625,128,0.09375,behavior_only
0930_1700_539136F,0.9894736842105263,1.0,95,-0.010526315789473717,behavior_only
0930_1700_9M4VCHG,0.5803571428571429,0.5982142857142857,112,-0.017857142857142794,behavior_only
0930_1700_U9TEJGM,0.6260162601626016,0.6341463414634146,123,-0.008130081300813052,behavior_only
1005_1600_9M4VCHG,0.8373983739837398,0.8048780487804879,123,0.03252032520325199,behavior_only
1005_1600_U9TEJGM,0.9803921568627451,0.9803921568627451,51,0.0,behavior_only
