subject_id,team,accuracy_v1v3,n_trials,accuracy_within_v3,delta
0826_1000_539136F,Team 17,0.9848484848484849,132,0.9772727272727273,0.007575757575757569
0826_1000_9M4VCHG,Team 17,0.5748031496062992,127,0.7007874015748031,-0.12598425196850394
0901_1300_539136F,Team 21,0.8879310344827587,116,0.8103448275862069,0.07758620689655182
0901_1300_9M4VCHG,Team 21,0.3548387096774194,124,0.4274193548387097,-0.07258064516129031
0901_1300_U9TEJGM,Team 21,0.6484375,128,0.7109375,-0.0625
0924_1000_539136F,Team 22,0.703125,128,0.7109375,-0.0078125
0924_1000_9M4VCHG,Team 22,0.9846153846153847,130,0.9846153846153847,0.0
0924_1000_U9TEJGM,Team 22,0.8333333333333334,120,0.75,0.08333333333333337
0924_1600_539136F,Team 24,0.8813559322033898,59,0.8813559322033898,0.0
0924_1600_9M4VCHG,Team 24,0.7384615384615385,130,0.5538461538461539,0.18461538461538463
0924_1600_U9TEJGM,Team 24,0.6991869918699187,123,0.6829268292682927,0.016260162601625994
