ambiguity,physio_acc,physio_acc_std,physio_auc,gaze_acc,gaze_acc_std,gaze_auc,combined_acc,combined_acc_std,combined_auc,n_trials,n_subjects,vs_chance_p
Low,0.5403561567474731,0.1788903286104537,0.5387107725871552,0.6769941574282689,0.17271017271650319,0.7037855254385539,0.6721830295603547,0.19255086516079395,0.701071400450032,4040,102,1.523907835198167e-14
Medium,0.5169723362471165,0.1717359319672473,0.5682384291400908,0.624740878615817,0.17387295195871952,0.6859590862990891,0.6213497417276674,0.1851951191903144,0.7008107546958954,4035,102,2.0698056777007676e-09
High,0.5964632947131812,0.16626922405575573,0.5540655725902691,0.6447492744757028,0.16030394975967913,0.6781480179254843,0.6591655153686516,0.14749191688346633,0.6720148938241866,4032,102,1.2405148040282695e-18
