ambiguity,cohens_d,p_value,invest_mean,keep_mean
Low,-0.4533256856258796,6.264475557767974e-29,0.1598340793688062,0.1800044893998756
Medium,-0.42821997053847194,7.555607965115544e-36,0.16324584337820894,0.1820965484893904
High,-0.4863864563559502,5.175437969012044e-52,0.16580815163955695,0.18619020973320285
