Model,Accuracy,F1_Score,Mean_Subject_Acc,SEM_Subject_Acc
Random Forest,0.6828391015906002,0.6483980504586581,0.6819008325507425,0.014291569217289232
XGBoost,0.6447925825273759,0.6523870457887145,0.6406034526980219,0.012922854463404913
LightGBM,0.6498281512269203,0.6571380377002245,0.6461517749450186,0.013224287139806988
