subject_id,desktop_id,team,session,date,accuracy,f1_score,num_trials,team_session_count,color
0923_1600_9M4VCHG,9M4VCHG,Team 24,Session 2,09/23/2021,0.5692307692307692,0.42851282051282047,130,3.0,green
0818_1600_U9TEJGM,U9TEJGM,Team 7,Session 3,08/18/2021,0.5681818181818182,0.46245679446438404,132,1.0,red
0826_1300_9M4VCHG,9M4VCHG,Team 18,Session 3,08/26/2021,0.5619834710743802,0.48626515210346843,121,2.0,orange
0824_1600_539136F,539136F,Team 19,Session 1,08/24/2021,0.5572519083969466,0.47040516735173227,131,1.0,red
0920_1600_U9TEJGM,U9TEJGM,Team 24,Session 1,09/20/2021,0.5528455284552846,0.44410494215480106,123,3.0,green
0824_1000_9M4VCHG,9M4VCHG,Team 17,Session 1,08/24/2021,0.5514018691588785,0.4668152755917372,107,3.0,green
0826_1300_U9TEJGM,U9TEJGM,Team 18,Session 3,08/26/2021,0.5384615384615384,0.5021978021978022,78,2.0,orange
0819_1400_539136F,539136F,Team 15,Session 1,08/19/2021,0.5348837209302325,0.4119087047303622,129,2.0,orange
0927_0930_U9TEJGM,U9TEJGM,Team 25,Session 1,09/27/2021,0.5252525252525253,0.48647922721996795,198,2.0,orange
0824_1600_9M4VCHG,9M4VCHG,Team 19,Session 1,08/24/2021,0.515625,0.4281740608354359,128,1.0,red
0826_1000_9M4VCHG,9M4VCHG,Team 17,Session 3,08/26/2021,0.5039370078740157,0.390572295781463,127,3.0,green
0813_1000_539136F,539136F,Team 10,Session 3,08/13/2021,0.49612403100775193,0.41674789954973773,129,1.0,red
0901_1300_U9TEJGM,U9TEJGM,Team 21,Session 3,09/01/2021,0.484375,0.382421875,128,3.0,green
0915_1000_U9TEJGM,U9TEJGM,Team 22,Session 1,09/15/2021,0.47560975609756095,0.39968109608456864,82,2.0,orange
0819_1400_9M4VCHG,9M4VCHG,Team 15,Session 1,08/19/2021,0.46601941747572817,0.3680693137946653,103,2.0,orange
0924_1600_9M4VCHG,9M4VCHG,Team 24,Session 3,09/24/2021,0.4461538461538462,0.2839112064918517,130,3.0,green
0825_1000_9M4VCHG,9M4VCHG,Team 17,Session 2,08/25/2021,0.4444444444444444,0.37229437229437223,9,3.0,green
0823_1400_539136F,539136F,Team 15,Session 3,08/23/2021,0.4122137404580153,0.24510006189395506,131,2.0,orange
0915_1000_539136F,539136F,Team 22,Session 1,09/15/2021,0.4117647058823529,0.28961960525805575,119,2.0,orange
0901_1300_9M4VCHG,9M4VCHG,Team 21,Session 3,09/01/2021,0.3790322580645161,0.20835691378985097,124,3.0,green
0816_1400_9M4VCHG,9M4VCHG,Team 12,Session 3,08/16/2021,0.3790322580645161,0.3345021976953897,124,2.0,orange
0928_1600_539136F,539136F,Team 26,Session 1,09/28/2021,0.2727272727272727,0.14031066972243442,220,2.0,orange
0828_1300_9M4VCHG,9M4VCHG,Team 16,Session 3,08/28/2021,0.25663716814159293,0.12661041366536324,113,2.0,orange
