Model,N_Features,Accuracy,F1_Score,Mean_Subject_Acc,SEM_Subject_Acc
Baseline (No Engineering),40,0.6828391015906002,0.6483980504586581,0.6819008325507425,0.014291569217289232
With Engineered Features,100,0.670130285348893,0.6262475193071424,0.6717557533952003,0.014997181698968833
