Model,Accuracy,F1_Score,Mean_Subject_Acc,SEM_Subject_Acc
Voting Ensemble,0.6527056190552314,0.6602532955000383,0.6494890550523582,0.013238969348732222
Stacking (Logistic Regression),0.6809207897050595,0.6640711455914238,0.6791520237423786,0.013413427546752127
Stacking (Random Forest),0.6833186795619854,0.6620875038890242,0.6817266219804597,0.013523901832384855
