Method,Accuracy,F1-Score,analysis_type,time_period,class_weighting,subgroup,file_source,subject_id,accuracy,Modality,Average,Weighted,Stacking,Visit,N_subjects,N_trials,F1_Score,Mean_Subject_Acc,Std_Subject_Acc,f1_score,Weight,feature,mean_abs_shap
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1600_U9TEJGM,0.6446280991735537,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1000_539136F,0.7837837837837838,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1000_9M4VCHG,0.5555555555555556,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1300_539136F,0.5645161290322581,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1300_9M4VCHG,0.6386554621848739,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1300_U9TEJGM,0.5955056179775281,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0826_1000_539136F,0.803030303030303,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0826_1000_9M4VCHG,0.5748031496062992,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0826_1300_539136F,0.6136363636363636,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0826_1300_9M4VCHG,0.7024793388429752,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0826_1300_U9TEJGM,0.5128205128205128,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0827_1000_539136F,0.7109375,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0827_1000_9M4VCHG,0.7251908396946565,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0827_1000_U9TEJGM,0.6967213114754098,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0828_1300_9M4VCHG,0.3716814159292035,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0828_1300_U9TEJGM,0.7837837837837838,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0830_1300_539136F,0.7380952380952381,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0830_1300_9M4VCHG,0.8854961832061069,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0830_1300_U9TEJGM,0.6976744186046512,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1000_539136F,0.6183206106870229,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1000_9M4VCHG,0.6708860759493671,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1000_U9TEJGM,0.8409090909090909,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1300_539136F,0.8538461538461538,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1300_9M4VCHG,0.8403361344537815,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0831_1300_U9TEJGM,0.5891472868217055,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1000_539136F,0.576,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1000_9M4VCHG,0.6209677419354839,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1000_U9TEJGM,0.7727272727272727,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1300_539136F,0.8706896551724138,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1300_9M4VCHG,0.3306451612903225,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0901_1300_U9TEJGM,0.546875,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0915_1000_539136F,0.4369747899159664,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0915_1000_9M4VCHG,0.8091603053435115,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0915_1000_U9TEJGM,0.6463414634146342,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0917_1030_539136F,0.6030534351145038,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0917_1030_9M4VCHG,0.9689922480620154,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0917_1030_U9TEJGM,0.7674418604651163,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0920_1600_539136F,0.7734375,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0920_1600_9M4VCHG,0.78125,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0920_1600_U9TEJGM,0.6504065040650406,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0922_1000_539136F,0.8292682926829268,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0922_1000_9M4VCHG,0.7054263565891473,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0922_1000_U9TEJGM,0.7363636363636363,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1000_539136F,0.9465648854961832,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1000_9M4VCHG,0.7633587786259542,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1000_U9TEJGM,0.640625,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1600_539136F,0.7107438016528925,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1600_9M4VCHG,0.7846153846153846,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0923_1600_U9TEJGM,0.6640625,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1000_539136F,0.7109375,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1000_9M4VCHG,0.9153846153846154,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1000_U9TEJGM,0.8166666666666667,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1600_539136F,0.864406779661017,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1600_9M4VCHG,0.6076923076923076,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0924_1600_U9TEJGM,0.6422764227642277,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0927_0930_539136F,0.7633587786259542,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0927_0930_U9TEJGM,0.5353535353535354,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0928_1600_539136F,0.3727272727272727,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0928_1600_9M4VCHG,0.6666666666666666,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0928_1600_U9TEJGM,0.7956989247311828,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0930_1700_539136F,0.9052631578947368,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0930_1700_9M4VCHG,0.625,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0930_1700_U9TEJGM,0.7073170731707317,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,1005_1600_539136F,0.7768595041322314,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,1005_1600_9M4VCHG,0.8373983739837398,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,1005_1600_U9TEJGM,0.9019607843137256,,,,,,,,,,,,,,
,,,modality_weights,PRE,unbalanced,none,late_fusion_model_PRE_modality_weights.csv,,,Physiology,0.3333333333333333,0.0309602832311435,0.1832716159039449,,,,,,,,,,
