ambiguity,modality,accuracy_mean,accuracy_std,accuracy_sem,n_subjects
Low,Gaze+Physio+EEG,0.6881357268755998,0.18864272559082182,0.021090897894095836,80
Medium,Gaze+Physio+EEG,0.6128114218583037,0.18366199115388088,0.020534034855152133,80
High,Gaze+Physio+EEG,0.6414249611213352,0.15194536535316483,0.016988008289785896,80
