trial_id,fz_pz_theta_coh,f3_p3_theta_coh,f4_p4_theta_coh,mean_fp_theta_coh
0_0831_1300_9M4VCHG,0.41877680641855425,0.3697833251008165,0.35519915265107355,0.3812530947234814
1_0831_1300_9M4VCHG,0.24223302203653485,0.3826862199845407,0.2041433413059408,0.27635419444233883
2_0831_1300_9M4VCHG,0.24171491533205788,0.4970622817806109,0.2531461230494038,0.33064110672069086
3_0831_1300_9M4VCHG,0.335833745298741,0.2602598070800128,0.1707897123501244,0.2556277549096261
4_0831_1300_9M4VCHG,0.3716050719810198,0.3547500554921082,0.20461235023413282,0.3103224925690869
5_0831_1300_9M4VCHG,0.2763010030514774,0.29498452787551793,0.4861099073426116,0.35246514608986895
6_0831_1300_9M4VCHG,0.2742631654843828,0.31210938170481545,0.34877967375504676,0.31171740698141504
7_0831_1300_9M4VCHG,0.1879403255058439,0.6457068584519117,0.3211994659725987,0.38494888331011806
8_0831_1300_9M4VCHG,0.28018462629962543,0.36583716484291395,0.26911127818729713,0.3050443564432788
9_0831_1300_9M4VCHG,0.10589306345694323,0.22665625968106617,0.10476112554641148,0.14577014956147363
10_0831_1300_9M4VCHG,0.25873429377140134,0.24382729099709322,0.11558481523935428,0.20604880000261627
11_0831_1300_9M4VCHG,0.14130716336598423,0.5466546394218854,0.20069311008664856,0.2962183042915061
12_0831_1300_9M4VCHG,0.15498221682196073,0.1501521404452569,0.19582594045528512,0.16698676590750092
13_0831_1300_9M4VCHG,0.25458647269959,0.2683817498836025,0.22497479464020442,0.24931433907446565
14_0831_1300_9M4VCHG,0.1422308186548729,0.477204353877455,0.30460677539746284,0.3080139826432636
15_0831_1300_9M4VCHG,0.05206667814288135,0.31855249841928557,0.09802786550735909,0.156215680689842
16_0831_1300_9M4VCHG,0.13044017764627525,0.3440280962785424,0.03968258680687604,0.1713836202438979
17_0831_1300_9M4VCHG,0.13500506997837128,0.42473516940155215,0.15879617770083657,0.23951213902692
18_0831_1300_9M4VCHG,0.2817883327477578,0.3558998027830705,0.045373808250677744,0.22768731459383532
19_0831_1300_9M4VCHG,0.09003346552832547,0.4147774735122511,0.1372226583165512,0.21401119911904262
20_0831_1300_9M4VCHG,0.22802933322319707,0.1823520985509529,0.1566001453148349,0.18899385902966162
21_0831_1300_9M4VCHG,0.043953279881095465,0.24158596775593758,0.28281367737006075,0.1894509750023646
22_0831_1300_9M4VCHG,0.16214510731307194,0.07302127928928676,0.19413344069805105,0.1430999424334699
23_0831_1300_9M4VCHG,0.147690197778279,0.11280497993754895,0.12394407331490065,0.12814641701024287
24_0831_1300_9M4VCHG,0.16809957216411395,0.26800785885930595,0.29679270649065437,0.24430004583802475
25_0831_1300_9M4VCHG,0.21751573915447783,0.45256108708671694,0.18486896396452782,0.2849819300685742
26_0831_1300_9M4VCHG,0.20705476882955418,0.4628001731176578,0.11276223063673067,0.2608723908613142
27_0831_1300_9M4VCHG,0.12190019552894209,0.32765128548546885,0.2303456738600658,0.22663238495815893
28_0831_1300_9M4VCHG,0.14900034384654795,0.4204909009511488,0.2940486618476546,0.2878466355484504
29_0831_1300_9M4VCHG,0.1256056926496969,0.3903122824552187,0.12000006749913433,0.21197268086801668
30_0831_1300_9M4VCHG,0.16283088745000032,0.08285154870883517,0.08331839366954354,0.10966694327612635
31_0831_1300_9M4VCHG,0.055553690639263346,0.13126598388959612,0.2600497509090476,0.14895647514596902
32_0831_1300_9M4VCHG,0.2031785006788477,0.4540280361384251,0.3070375720207108,0.32141470294599456
33_0831_1300_9M4VCHG,0.2237720638407205,0.20668485715089077,0.20714830156036812,0.21253507418399312
34_0831_1300_9M4VCHG,0.25502212780276307,0.11453958688767814,0.20599788359385238,0.19185319942809786
35_0831_1300_9M4VCHG,0.17885045990304257,0.6304651907342185,0.298188133768167,0.3691679281351427
36_0831_1300_9M4VCHG,0.17964558423652222,0.2253202951238995,0.20078639646564533,0.2019174252753557
37_0831_1300_9M4VCHG,0.05128716810066112,0.1619636516957713,0.05053868145838603,0.08792983375160614
38_0831_1300_9M4VCHG,0.33776825183299414,0.47209372304925395,0.12065141492730586,0.31017112993651796
39_0831_1300_9M4VCHG,0.14135366277154635,0.10164129321947442,0.2578723454752226,0.16695576715541446
40_0831_1300_9M4VCHG,0.19172887546148995,0.1712946232709259,0.2575129611416634,0.20684548662469307
41_0831_1300_9M4VCHG,0.24519488325647285,0.41897526158684945,0.1467284532667489,0.27029953270335705
42_0831_1300_9M4VCHG,0.27060058748134935,0.31279804838966524,0.0532012905234962,0.21219997546483693
43_0831_1300_9M4VCHG,0.10204483120944002,0.06054791804672263,0.16908874499828472,0.11056049808481579
44_0831_1300_9M4VCHG,0.1591744350986443,0.541965121868857,0.28798555649194535,0.3297083711531489
45_0831_1300_9M4VCHG,0.30732241979096225,0.13601792399904777,0.09543038389832896,0.17959024256277967
46_0831_1300_9M4VCHG,0.058107453176699575,0.2983489972075022,0.2163539585290051,0.19093680297106896
47_0831_1300_9M4VCHG,0.09369160749945034,0.5839414614363512,0.1467096376568555,0.27478090219755236
48_0831_1300_9M4VCHG,0.08562457156612309,0.4252557962637091,0.3035980033227,0.27149279038417734
49_0831_1300_9M4VCHG,0.12438379205934728,0.5854064520446409,0.2141460121040221,0.3079787520693367
50_0831_1300_9M4VCHG,0.16826319671083234,0.5198278092630085,0.17294996631723433,0.2870136574303584
51_0831_1300_9M4VCHG,0.16740519098034667,0.15530309420350036,0.05602911310132034,0.12624579942838912
52_0831_1300_9M4VCHG,0.1257060901996058,0.4325064895510475,0.2184975534625275,0.2589033777377269
53_0831_1300_9M4VCHG,0.41770892301450413,0.35060302339412525,0.11932486169380736,0.2958789360341456
54_0831_1300_9M4VCHG,0.13654490904693886,0.35090428387671957,0.2607281950724074,0.24939246266535528
55_0831_1300_9M4VCHG,0.13136520323226433,0.35332356455618313,0.11582570807807151,0.20017149195550632
56_0831_1300_9M4VCHG,0.3143130922114215,0.28804204071289063,0.10651766257809255,0.23629093183413494
57_0831_1300_9M4VCHG,0.040007715484586585,0.3622816619549188,0.16265070748373442,0.18831336164107992
58_0831_1300_9M4VCHG,0.1582879390491012,0.6499379790336782,0.22974585547831836,0.3459905911870326
59_0831_1300_9M4VCHG,0.0774696193312847,0.17135284574369725,0.26817156926351465,0.17233134477949888
60_0831_1300_9M4VCHG,0.07861357602203763,0.6732215834188254,0.21110933882527408,0.32098149942204574
61_0831_1300_9M4VCHG,0.25610315221830654,0.34781624563494457,0.1631290525441932,0.2556828167991481
62_0831_1300_9M4VCHG,0.039161576756853306,0.3088756900094531,0.2067203115799182,0.1849191927820749
63_0831_1300_9M4VCHG,0.4332579130384629,0.38087839538645496,0.165514938963529,0.3265504157961489
64_0831_1300_9M4VCHG,0.10384581089645621,0.4359465805968839,0.3206031868139796,0.2867985261024399
65_0831_1300_9M4VCHG,0.1782242019471663,0.11656011966145592,0.16067817218236588,0.15182083126366272
66_0831_1300_9M4VCHG,0.13080980133331946,0.3581412313784765,0.19522272020928685,0.22805791764036096
67_0831_1300_9M4VCHG,0.09282775655366486,0.1666819990746422,0.15449337267452104,0.13800104276760938
68_0831_1300_9M4VCHG,0.12025009033657456,0.21135763961916243,0.0762091192713522,0.13593894974236306
69_0831_1300_9M4VCHG,0.13324054243855057,0.3460998496942094,0.13515454188628132,0.20483164467301376
71_0831_1300_9M4VCHG,0.050170028751811785,0.23182769146676466,0.20089049052561045,0.16096273691472895
72_0831_1300_9M4VCHG,0.07691209154072486,0.2152384782224002,0.19056647416746184,0.16090568131019564
73_0831_1300_9M4VCHG,0.22955638316700222,0.3219603193591453,0.22314903715274878,0.2582219132262988
74_0831_1300_9M4VCHG,0.06281271665495247,0.4550562168965675,0.16037709121523466,0.2260820082555849
75_0831_1300_9M4VCHG,0.06900449534320416,0.5134938019406812,0.27373870266175165,0.2854123333152123
76_0831_1300_9M4VCHG,0.1459261713671949,0.18304352606050986,0.14443048395316388,0.15780006046028955
77_0831_1300_9M4VCHG,0.09274855908216517,0.2818926812787654,0.05019667023322197,0.1416126368647175
79_0831_1300_9M4VCHG,0.14088741750870235,0.31332131932369967,0.24395812440470244,0.23272228707903483
81_0831_1300_9M4VCHG,0.15351536260342033,0.5956351906929038,0.3019545835889461,0.3503683789617568
82_0831_1300_9M4VCHG,0.12916000880609313,0.49804508718100765,0.11896940024794056,0.24872483207834709
83_0831_1300_9M4VCHG,0.16599814044401698,0.1648919767444946,0.07482585465937623,0.13523865728262927
84_0831_1300_9M4VCHG,0.06719299709871239,0.17101392285430742,0.11867731550215767,0.11896141181839248
85_0831_1300_9M4VCHG,0.2814742961291737,0.2873970733983624,0.13500283547187283,0.23462473499980296
86_0831_1300_9M4VCHG,0.26306106191469886,0.42146987090028526,0.3195731188874363,0.33470135056747347
87_0831_1300_9M4VCHG,0.23035324766464085,0.3568504245135147,0.18308682882857705,0.25676350033557754
88_0831_1300_9M4VCHG,0.2395680693486847,0.31041386055809345,0.2241717356099047,0.25805122183889423
89_0831_1300_9M4VCHG,0.08799493045057455,0.19255086808589986,0.3087450982903981,0.19643029894229083
90_0831_1300_9M4VCHG,0.25267690137431875,0.3339061978435301,0.09511937246831924,0.22723415722872273
91_0831_1300_9M4VCHG,0.4203256832634746,0.4493435221495424,0.2940639784776826,0.3879110612968999
92_0831_1300_9M4VCHG,0.16379974062534577,0.3167773408782361,0.19354212018082703,0.22470640056146965
93_0831_1300_9M4VCHG,0.08545351618631508,0.14975983281986768,0.18391018797698763,0.1397078456610568
94_0831_1300_9M4VCHG,0.07597721075100886,0.20857913682421456,0.25417847178123054,0.179578273118818
95_0831_1300_9M4VCHG,0.3836360662649014,0.3278290215038515,0.22595139218775184,0.3124721599855016
96_0831_1300_9M4VCHG,0.18214852371883095,0.4047662679620056,0.1873077614855535,0.2580741843887967
97_0831_1300_9M4VCHG,0.24781053629755245,0.17715090113103638,0.1032703850050013,0.17607727414453003
98_0831_1300_9M4VCHG,0.20823786494200736,0.10289955714533544,0.1962220193588224,0.1691198138153884
99_0831_1300_9M4VCHG,0.20082509824665895,0.1955202782559077,0.1202098102902303,0.17218506226426564
100_0831_1300_9M4VCHG,0.10876928377802779,0.06832816679583432,0.11120245919564865,0.09609996992317026
101_0831_1300_9M4VCHG,0.3148677315791516,0.5391587310951554,0.29899368909284135,0.38434005058904946
102_0831_1300_9M4VCHG,0.14265877245835626,0.22103344217434454,0.047383429257455874,0.1370252146300522
103_0831_1300_9M4VCHG,0.12426928536529452,0.2643177270651342,0.10308531766305802,0.1638907766978289
104_0831_1300_9M4VCHG,0.2540715480254494,0.23774963358477752,0.2739051796538967,0.25524212042137456
105_0831_1300_9M4VCHG,0.3256140432001739,0.16780940994171026,0.08015917236199167,0.19119420850129196
106_0831_1300_9M4VCHG,0.47859730853208676,0.503214026134137,0.2030317551138924,0.3949476965933721
107_0831_1300_9M4VCHG,0.11582668611351671,0.7171181854853831,0.18777894003320547,0.34024127054403513
108_0831_1300_9M4VCHG,0.1275853669207207,0.38722480651343133,0.15912310746067163,0.22464442696494122
109_0831_1300_9M4VCHG,0.29198393479617946,0.3629848767351309,0.3030092757205492,0.3193260290839532
110_0831_1300_9M4VCHG,0.17551401965522348,0.4673456853006675,0.1524805171309165,0.2651134073622691
111_0831_1300_9M4VCHG,0.2072440231040389,0.6595702324538945,0.19011922292539143,0.35231115949444164
