feature,mean_abs_shap
gaze_dispersion_x,0.0358365039024684
gaze_x_mean,0.03487330721730463
gaze_x_std,0.03434186549384419
screen_x_std,0.028359216147798755
gaze_path_length,0.016330237825654362
screen_y_std,0.011380361926054782
screen_x_mean,0.01067082390014037
gaze_acceleration_std,0.009245097115076668
gaze_y_mean,0.00891436151160715
screen_y_mean,0.0057961915745456775
gaze_acceleration_mean,0.005287666258015269
gaze_dispersion_y,0.005247942873375757
gaze_y_std,0.0035883905925776227
gaze_velocity_mean,0.003065793133934687
gaze_velocity_max,0.002945928385602179
gaze_velocity_std,0.0026256532614729326
saccade_ratio,0.00026083612789384674
saccade_count,0.00013529902019637698
fixation_ratio,0.00013413047260237994
gaze_valid_pct,0.0
