feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
pupil_mean,0,-2.0,-1.5,-2.0s to -1.5s,0.9602922604562167,0.8067882885095564,0.15350397194666032,6.9603957616556755,3.6051896202498367e-12,0.14355223964063835,0.14355223964063835,True,True
pupil_mean,1,-1.5,-1.0,-1.5s to -1.0s,0.3529701494520767,0.2939674931299222,0.05900265632215451,5.288707892121316,1.257729672373609e-07,0.10907509985302061,0.10907509985302061,True,True
pupil_mean,2,-1.0,-0.5,-1.0s to -0.5s,0.23196315621990604,0.2627408818770101,-0.03077772565710407,-3.9410318292149404,8.168161973398069e-05,-0.08128042785950325,0.08128042785950325,True,True
pupil_mean,3,-0.5,0.0,-0.5s to 0.0s,0.36826829805541605,0.41401669999039714,-0.04574840193498109,-5.218837356305478,1.8364326433596093e-07,-0.10763407950809858,0.10763407950809858,True,True
pupil_median,0,-2.0,-1.5,-2.0s to -1.5s,0.9637254360296605,0.8031249679782877,0.16060046805137285,6.90268731489691,5.41108505520592e-12,0.1423620520331979,0.1423620520331979,True,True
pupil_median,1,-1.5,-1.0,-1.5s to -1.0s,0.32577911196248405,0.2661671754919523,0.05961193647053176,4.884718559293003,1.0517497938016412e-06,0.10074316363785395,0.10074316363785395,True,True
pupil_median,2,-1.0,-0.5,-1.0s to -0.5s,0.2287475361724291,0.2599615985737891,-0.031214062401359988,-3.8493421788688633,0.00011916959088173368,-0.07938940684435405,0.07938940684435405,True,True
pupil_median,3,-0.5,0.0,-0.5s to 0.0s,0.36739600537063155,0.41454653733106456,-0.047150531960433006,-5.228747024995271,1.740941285104355e-07,-0.10783845799220047,0.10783845799220047,True,True
pupil_std,0,-2.0,-1.5,-2.0s to -1.5s,0.30080238729168124,0.2987206036359037,0.002081783655777547,0.3162991069333061,0.7517820604579153,0.006523399926013578,0.006523399926013578,False,False
pupil_std,1,-1.5,-1.0,-1.5s to -1.0s,0.3126149065645314,0.2828841415304303,0.029730765034101103,4.823330039722042,1.4325548201416619e-06,0.09947707766021718,0.09947707766021718,True,True
pupil_std,2,-1.0,-0.5,-1.0s to -0.5s,0.15165313487158932,0.15663536168182046,-0.0049822268102311384,-2.2853907774833897,0.02231066128023245,-0.04713424003404101,0.04713424003404101,True,False
pupil_std,3,-0.5,0.0,-0.5s to 0.0s,0.14154991469238323,0.1452955095932049,-0.0037455949008216582,-1.8566078395881553,0.0633962211806206,-0.03829095681246856,0.03829095681246856,False,False
pupil_range,0,-2.0,-1.5,-2.0s to -1.5s,0.9328318876702119,0.92532476134281,0.007507126327401803,0.3872979930713652,0.6985438156222149,0.007987691536162574,0.007987691536162574,False,False
