Method,Accuracy,Accuracy SEM,F1-Score,Physio Weight,Behavior Weight,Gaze Weight,N Trials
Full Window (Baseline),0.6903818424641599,0.01300916304602647,0.681596744969812,0.015178907259276488,0.9826983316831515,0.002122761057572194,10380
Time-Aligned,0.6914633691746931,0.012913300412583942,0.6824022771718636,0.012904862117435441,0.9849405321199401,0.002154605762624388,10380
