feature,mean_abs_shap
ambiguity,0.06396169835479518
reaction_time,0.030013398168635814
pupil_slope_pre,0.020290814478470687
pupil_std_pre,0.014243478365545452
ev_difference,0.010395713081780642
invest_variance,0.009702155086191232
risk_premium,0.009355491133505948
pct_time_dilating_pre,0.007995553915883713
time_to_peak_pre,0.005592674851206357
screen_y_mean,0.005343612499006684
pupil_cv_pre,0.0035863364733760236
gaze_y_mean,0.0033141027838378702
pupil_velocity_mean_pre,0.002700674839031605
gaze_x_std,0.0020845381655645923
pupil_max_dilation_rate_pre,0.0019912182094242543
pupil_mean_pre,0.0018654485731932969
gaze_x_mean,0.0016944139690188852
gaze_path_length,0.0016663886653444108
gaze_acceleration_std,0.0016572833497618678
pupil_max_constriction_rate_pre,0.0015464546546373264
gaze_y_std,0.001459672867960066
num_dilation_peaks_pre,0.0014363856194051065
eye_asymmetry_std_pre,0.0010797292254974401
eye_asymmetry_pre,0.0010680303025425567
gaze_acceleration_mean,0.0010642162845208223
gaze_dispersion_y,0.0010092234254124094
gaze_dispersion_x,0.0010033736831713115
pupil_acceleration_std_pre,0.0009638687484172368
screen_y_std,0.0008294875893409036
screen_x_mean,0.0007237575671191365
screen_x_std,0.0007051420959862764
gaze_velocity_std,0.0006836881863396036
gaze_velocity_max,0.0006659402039023198
gaze_velocity_mean,0.0006073163347008782
condition_social,8.269740499669304e-05
fixation_ratio,7.667632994501163e-05
saccade_ratio,7.539889347759086e-05
saccade_count,3.44715543144316e-05
gaze_valid_pct,0.0
