Modality,Average,Weighted,Stacking
Physiology,0.25,0.3324282719120275,0.4223792621139879
Behavior,0.25,0.5597881559977148,0.3779285215746164
Gaze,0.25,0.03442399971282408,0.08499690964530447
EEG,0.25,0.07335957237743365,0.11469530666609128
