Group,RT_Min,RT_Max,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight,EEG_Weight
Fast,0.14425219999975525,1.1542076000478119,3442,80,0.6944686455689244,0.034429314817963456,0.30601444375702375,0.619627029030751,0.0380837208293258,0.17008701910006513,0.5138078377538198,0.20411596361476714,0.11198917953134778
Medium,1.1542525999975624,1.719905200006906,3441,82,0.6651629640037869,0.024907770902715346,0.2241699381244381,0.5580012569622755,0.03037724297858477,0.29698023271707297,0.5083048775910458,0.17539254997281786,0.019322339719063313
Slow,1.7199700999772176,4.57559379999293,3548,81,0.5919859238945137,0.020348151440649342,0.1819993993510088,0.4890482680525051,0.02433925383389328,0.3502988888248613,0.5370803841633072,0.041517258717438804,0.07110346829439292
