Strategy,N Features,Accuracy,Accuracy SEM,F1-Score,F1 SEM
L0: channels_raw,20,0.5543543514306863,0.018732942282362403,0.5043885444742542,0.02082873463035898
L1: regional_raw,4,0.5691075744079178,0.016922043783989215,0.5188151387487899,0.017882091774162955
L2: channels_bands,80,0.54444659673559,0.015913278676702256,0.5141553841756588,0.018042802819951295
L3: regional_bands,16,0.5039937348859632,0.015015881448280163,0.4861978516005947,0.01687470849527392
L4: extended,160,0.5215662320062092,0.015950248130979026,0.5012363250756235,0.01775052722191388
