Feature,Importance
eeg_Theta_Occipital_lateralization,0.0027802807278399615
eeg_Theta_Central_slope,0.0027794067056676705
eeg_Theta_Central_std,0.0027779366293429484
eeg_Theta_C3,0.002763837422245805
eeg_Delta_Fp2,0.002751906490428221
eeg_Theta_T4,0.0027148747441028036
eeg_Alpha_T4,0.0026930324732822686
eeg_Alpha_Central_std,0.0026569498173091236
eeg_Beta_Parietal_std,0.0026079518046300074
eeg_Theta_Frontal_slope,0.0025531937617447003
eeg_Delta_T4,0.0025254688881514373
eeg_Beta_Frontal_slope,0.0024981284381494838
eeg_Delta_F8,0.002488748697368982
eeg_Alpha_T3,0.002479343977410148
eeg_Theta_F8,0.002408240376184854
eeg_Delta_Frontal_std,0.0023935441112508267
eeg_Alpha_O2,0.0023827580734946253
eeg_Delta_Frontal_slope,0.002362666571199068
eeg_Alpha_Cz,0.0022657873459000144
eeg_Theta_Occipital_std,0.00226445325968451
eeg_Theta_Parietal_slope,0.0022609610645354006
eeg_Theta_Occipital_mean,0.0021834375543818255
eeg_Theta_Parietal_std,0.002172764835975171
eeg_Delta_Occipital_mean,0.00212853497118525
eeg_Delta_Occipital_std,0.0020606519461590918
eeg_Delta_Parietal_slope,0.0019844680323831787
