EEG Features,N EEG Features,Method,Accuracy,Accuracy SEM,F1-Score
Regional,16,Weighted,0.7477349318782878,0.014438962945870151,0.7368700558894233
Regional,16,Stacking,0.7166372162325416,0.014515758052310023,0.711820402542908
Regional+Channels,96,Weighted,0.7470926143259942,0.014473120634930468,0.736153819071983
Regional+Channels,96,Stacking,0.7171312029618105,0.014522565055607608,0.7123812535113554
Non-temporal,96,Weighted,0.7475523587569914,0.014354387561916208,0.736803157811757
Non-temporal,96,Stacking,0.7175008644875547,0.014518641437062435,0.712789132187639
