EEG Features,Modality,Weight
Regional,Physiology,0.7187222611413457
Regional,Behavior,80.42007741794559
Regional,Gaze,18.389924195633487
Regional,EEG,0.4712761252795777
Regional+Channels,Physiology,0.708479633980112
Regional+Channels,Behavior,80.04521809157133
Regional+Channels,Gaze,18.569386381027307
Regional+Channels,EEG,0.6769158934212581
Non-temporal,Physiology,0.711770948766352
Non-temporal,Behavior,80.167968799964
Non-temporal,Gaze,18.35664317064972
Non-temporal,EEG,0.7636170806199337
