Method,Accuracy,F1-Score
Physiology Only,0.5143219159861447,0.5008855658379472
Behavior Only,0.7111399719064299,0.7052126704404967
Gaze Only,0.621730494381478,0.6253047900685935
EEG Only,0.5657071262642446,0.5472506854706147
Average Fusion,0.7037212984543304,0.6918861542175572
Weighted Fusion,0.749261528322096,0.7376619056335344
Stacking,0.721177493280184,0.7146130064036249
