subject_id,accuracy
0731_1000_U9TEJGM,0.6302521008403361
0802_1400_U9TEJGM,0.7619047619047619
0811_1000_4LI8GO7,0.768595041322314
0811_1000_U9TEJGM,0.7851239669421488
0813_1000_9M4VCHG,0.6260162601626016
0813_1000_U9TEJGM,0.7476635514018691
0816_1400_539136F,0.8515625
0816_1400_9M4VCHG,0.46956521739130436
0816_1400_U9TEJGM,0.632
0817_1000_539136F,0.5426356589147286
0817_1000_9M4VCHG,0.6484375
0817_1000_U9TEJGM,0.7787610619469026
0818_1600_539136F,0.8636363636363636
0818_1600_9M4VCHG,0.797752808988764
0818_1600_U9TEJGM,0.8062015503875969
0819_1400_539136F,0.6434108527131783
0819_1400_9M4VCHG,0.5157894736842106
0823_1400_539136F,0.6793893129770993
0823_1400_9M4VCHG,1.0
0823_1400_U9TEJGM,0.6065573770491803
0824_1000_539136F,0.8062015503875969
0824_1000_9M4VCHG,0.7075471698113207
0824_1000_U9TEJGM,0.7345132743362832
0824_1600_539136F,0.6363636363636364
0824_1600_9M4VCHG,0.65625
0826_1000_539136F,0.9848484848484849
0826_1000_9M4VCHG,0.5785123966942148
0826_1300_539136F,0.5909090909090909
0826_1300_9M4VCHG,0.7787610619469026
0826_1300_U9TEJGM,0.6164383561643836
0827_1000_539136F,0.7094017094017094
0827_1000_9M4VCHG,0.8372093023255814
0827_1000_U9TEJGM,0.7868852459016393
0828_1300_9M4VCHG,0.5929203539823009
0828_1300_U9TEJGM,0.7714285714285715
0830_1300_539136F,0.725
0830_1300_9M4VCHG,0.8582677165354331
0830_1300_U9TEJGM,0.7829457364341085
0831_1300_539136F,0.8217054263565892
0831_1300_9M4VCHG,0.8050847457627118
0831_1300_U9TEJGM,0.7596899224806202
0901_1000_539136F,0.6115702479338843
0901_1000_9M4VCHG,0.6198347107438017
0901_1000_U9TEJGM,0.9090909090909091
0901_1300_539136F,0.8448275862068966
0901_1300_9M4VCHG,0.3387096774193548
0901_1300_U9TEJGM,0.6484375
0915_1000_539136F,0.5775862068965517
0915_1000_9M4VCHG,0.9770992366412213
0915_1000_U9TEJGM,0.7272727272727273
0917_1030_539136F,0.5538461538461539
0917_1030_9M4VCHG,1.0
0917_1030_U9TEJGM,0.7674418604651163
0920_1600_539136F,0.8515625
0920_1600_9M4VCHG,0.84375
0920_1600_U9TEJGM,0.7304347826086957
0922_1000_539136F,0.8211382113821138
0922_1000_9M4VCHG,0.8671875
0922_1000_U9TEJGM,0.73
0923_1000_539136F,0.9615384615384616
0923_1000_9M4VCHG,0.9236641221374046
0923_1000_U9TEJGM,0.7916666666666666
0923_1600_539136F,0.7603305785123967
0923_1600_U9TEJGM,0.725
0924_1000_539136F,0.6929133858267716
0924_1000_9M4VCHG,0.984251968503937
0924_1000_U9TEJGM,0.775
0924_1600_539136F,0.8813559322033898
0924_1600_9M4VCHG,0.765625
0924_1600_U9TEJGM,0.6785714285714286
0927_0930_539136F,0.813953488372093
0927_0930_U9TEJGM,0.6767676767676768
0928_1600_539136F,0.5384615384615384
0928_1600_9M4VCHG,0.7894736842105263
0928_1600_U9TEJGM,0.8026315789473685
0930_1700_539136F,1.0
0930_1700_9M4VCHG,0.7410714285714286
0930_1700_U9TEJGM,0.6991869918699187
1005_1600_9M4VCHG,0.8235294117647058
1005_1600_U9TEJGM,1.0
