Feature Set,N Features,Accuracy,Accuracy SEM,F1-Score,F1 SEM
Regional,16,0.5039937348859632,0.015015881448280163,0.4861978516005947,0.01687470849527392
Regional+Channels,96,0.5337715588127372,0.016212878313679256,0.5009405755293236,0.017974851086597576
Non-temporal,96,0.5172298702249871,0.014565574865841502,0.5067925715639301,0.015610728416423445
