Feature Set,N Features,Accuracy,Accuracy SEM,F1-Score,F1 SEM
Regional,16,0.5165685628552772,0.016078197282028302,0.4977929916286471,0.017405998132209406
Regional+Channels,96,0.5072511393762154,0.01859316093790458,0.4824569974515666,0.019445749226888846
Non-temporal,96,0.4901806030701902,0.01712807830297444,0.47344024816187524,0.018468502062369014
