Group,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight,EEG_Weight
Low,3143,80,0.81276467084739,0.02126626995079373,0.1890187418537711,0.750604469323871,0.026260712164913064,0.0063807645960534745,0.605395754781275,0.38353071525689536,0.004692765365776098
Medium,3121,80,0.7367637905372543,0.020706347475528873,0.1840420420349925,0.7079535728511933,0.021435067949538627,0.005362372941807081,0.8569131350649468,0.13435116609541453,0.0033733258978316397
High,3101,80,0.706996746900739,0.017848269642335112,0.15863889059374625,0.6820265274573085,0.01880879664860015,0.03039821444394521,0.6427091534363781,0.32136392125515245,0.005528710864524138
