accuracy,f1_score
0.627906976744186,0.639483204134367
0.9733333333333334,0.9733333333333334
0.8709677419354839,0.864973211944101
0.8888888888888888,0.888167388167388
1.0,1.0
0.8823529411764706,0.8823529411764706
1.0,1.0
0.875,0.875
0.6538461538461539,0.6982248520710059
1.0,1.0
0.90625,0.8913934426229507
0.4423076923076923,0.42613356511661593
0.6829268292682927,0.6537889439044766
0.5625,0.5784412955465587
0.5942028985507246,0.587193675889328
0.8,0.8375
0.8907563025210085,0.8878183969978651
0.8076923076923077,0.7757120927852635
0.797979797979798,0.796529693986626
0.6746987951807228,0.6766924695718523
0.46875,0.44519704433497537
0.8888888888888888,0.9144444444444444
0.765625,0.7687647754137116
0.9917355371900827,0.995850622406639
0.584070796460177,0.5519717126726446
0.9354838709677419,0.9354838709677419
1.0,1.0
0.9375,0.9382591093117408
0.9,0.9017783857729138
0.7,0.696969696969697
0.7818181818181819,0.7563636363636363
1.0,1.0
0.6545454545454545,0.6588617094641193
1.0,1.0
1.0,1.0
0.991304347826087,0.9869755078792481
0.532258064516129,0.5419515282246923
0.6166666666666667,0.5770114942528736
0.9032258064516129,0.9043497808249973
0.6666666666666666,0.7083333333333334
0.7592592592592593,0.7256073277578655
0.8762886597938144,0.8750763317647905
1.0,1.0
0.6842105263157895,0.7371044760455475
1.0,1.0
0.9583333333333334,0.9787234042553191
0.9775280898876404,0.9775280898876404
0.9111111111111111,0.9125925925925925
0.5614035087719298,0.5587044534412955
0.5833333333333334,0.5862470862470862
0.992,0.9880160642570281
0.8214285714285714,0.7945845004668535
0.84375,0.8333019105077929
0.84375,0.8428263546798029
0.5555555555555556,0.5414237767178944
0.5662650602409639,0.5612306368330464
0.9646017699115044,0.9472215578410269
0.8767123287671232,0.8191180881911808
0.375,0.37821411874707805
0.7192982456140351,0.7172189733593243
0.5238095238095238,0.5281385281385281
0.9904761904761905,0.9857370699475962
0.625,0.665909090909091
0.5862068965517241,0.5268468232676831
1.0,1.0
0.7777777777777778,0.7703703703703705
0.9821428571428571,0.981917211328976
0.921875,0.923963133640553
0.7222222222222222,0.7195767195767195
0.8111111111111111,0.7891903672224039
0.972972972972973,0.9596445760829322
0.8888888888888888,0.874074074074074
0.9666666666666667,0.9706896551724138
0.9578947368421052,0.947594793435201
1.0,1.0
0.8241758241758241,0.8016342631727247
0.7258064516129032,0.7173461746277005
0.6637168141592921,0.5767904661709972
1.0,1.0
0.7846153846153846,0.7772322240407347
0.8947368421052632,0.8450292397660818
0.8380952380952381,0.8371228371228372
0.6790123456790124,0.6725028058361392
0.9125,0.9145982783357246
0.5555555555555556,0.5185185185185185
0.5833333333333334,0.6296296296296297
0.7931034482758621,0.7830273175100761
1.0,1.0
1.0,1.0
0.75,0.7554112554112554
0.8181818181818182,0.8133116883116883
0.8679245283018868,0.8240899561654278
1.0,1.0
