Modality,Average,Weighted,Stacking
Physiology,0.25,0.007187222611413337,0.02401139700826935
Behavior,0.25,0.804200774179469,0.6940075506040707
Gaze,0.25,0.18389924195632187,0.2788605720280537
EEG,0.25,0.004712761252795749,0.003120480359606236
