feature,mean_abs_shap
gaze_y_mean,0.012298147288615937
screen_y_mean,0.010342427881162386
gaze_path_length,0.009649377894530627
gaze_acceleration_std,0.00776824046488601
screen_x_mean,0.007079260376895623
gaze_y_std,0.006532050990017378
gaze_x_mean,0.005840212894081579
gaze_dispersion_y,0.005452143333186504
gaze_acceleration_mean,0.004364585420423837
screen_y_std,0.004023908055578409
gaze_dispersion_x,0.003840965866514641
gaze_velocity_std,0.00312640837766897
gaze_velocity_mean,0.00230547020222582
gaze_x_std,0.002163456924643694
gaze_velocity_max,0.0018693400554468252
screen_x_std,0.0016462717022797827
fixation_ratio,0.0003791070285295904
saccade_ratio,0.0003547235162146953
saccade_count,0.0001323265868014233
gaze_valid_pct,0.0
