subject_id,accuracy
0811_1000_4LI8GO7,0.7851239669421488
0811_1000_U9TEJGM,0.7024793388429752
0813_1000_9M4VCHG,0.5203252032520326
0813_1000_U9TEJGM,0.6074766355140186
0816_1400_539136F,0.875
0816_1400_9M4VCHG,0.4
0816_1400_U9TEJGM,0.688
0817_1000_539136F,0.5736434108527132
0817_1000_9M4VCHG,0.6484375
0817_1000_U9TEJGM,0.6902654867256637
0818_1600_539136F,0.6212121212121212
0818_1600_9M4VCHG,0.6629213483146067
0818_1600_U9TEJGM,0.5348837209302325
0819_1400_539136F,0.5193798449612403
0819_1400_9M4VCHG,0.42105263157894735
0819_1400_U9TEJGM,0.8217054263565892
0823_1400_539136F,0.4122137404580153
0823_1400_9M4VCHG,1.0
0823_1400_U9TEJGM,0.5655737704918032
0824_1000_539136F,0.7209302325581395
0824_1000_9M4VCHG,0.4716981132075472
0824_1000_U9TEJGM,0.5575221238938053
0824_1600_539136F,0.512396694214876
0824_1600_9M4VCHG,0.4609375
0824_1600_U9TEJGM,0.6776859504132231
0825_1300_9M4VCHG,0.6517857142857143
0826_1000_539136F,0.9848484848484849
0826_1000_9M4VCHG,0.49586776859504134
0826_1300_539136F,0.6136363636363636
0826_1300_9M4VCHG,0.46017699115044247
0826_1300_U9TEJGM,0.5342465753424658
0827_1000_539136F,0.8290598290598291
0827_1000_9M4VCHG,0.5736434108527132
0827_1000_U9TEJGM,0.8032786885245902
0828_1300_9M4VCHG,0.2743362831858407
0828_1300_U9TEJGM,0.8142857142857143
0830_1300_539136F,0.7416666666666667
0830_1300_9M4VCHG,0.6692913385826772
0830_1300_U9TEJGM,0.5813953488372093
0831_1000_9M4VCHG,0.6029411764705882
0831_1300_539136F,0.8294573643410853
0831_1300_9M4VCHG,0.6949152542372882
0831_1300_U9TEJGM,0.5271317829457365
0901_1000_539136F,0.6363636363636364
0901_1000_9M4VCHG,0.6033057851239669
0901_1000_U9TEJGM,0.9090909090909091
0901_1300_539136F,0.8275862068965517
0901_1300_9M4VCHG,0.3790322580645161
0901_1300_U9TEJGM,0.4609375
0915_1000_539136F,0.46551724137931033
0915_1000_9M4VCHG,0.9618320610687023
0915_1000_U9TEJGM,0.38961038961038963
0917_1030_539136F,0.6384615384615384
0917_1030_9M4VCHG,1.0
0917_1030_U9TEJGM,0.6201550387596899
0920_1600_539136F,0.625
0920_1600_9M4VCHG,0.5859375
0920_1600_U9TEJGM,0.5217391304347826
0922_1000_539136F,0.8130081300813008
0922_1000_9M4VCHG,0.890625
0922_1000_U9TEJGM,0.73
0923_1000_539136F,0.9538461538461539
0923_1000_9M4VCHG,0.9312977099236641
0923_1000_U9TEJGM,0.8
0923_1600_539136F,0.743801652892562
0923_1600_U9TEJGM,0.6166666666666667
0924_1000_539136F,0.7086614173228346
0924_1000_9M4VCHG,0.984251968503937
0924_1000_U9TEJGM,0.7416666666666667
0924_1600_539136F,0.8813559322033898
0924_1600_9M4VCHG,0.4453125
0924_1600_U9TEJGM,0.625
0927_0930_539136F,0.689922480620155
0927_0930_U9TEJGM,0.37373737373737376
0928_1600_539136F,0.25
0928_1600_9M4VCHG,0.6228070175438597
0928_1600_U9TEJGM,0.8289473684210527
0930_1700_539136F,1.0
0930_1700_9M4VCHG,0.6339285714285714
0930_1700_U9TEJGM,0.5121951219512195
1005_1600_9M4VCHG,0.8067226890756303
1005_1600_U9TEJGM,1.0
