Group,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight
Fast,6256,97,0.7097351125840049,0.01973563728391159,0.19336896437692278,0.7104186253637785,0.02133652766150767,0.009308619290888191,0.013229892473618545,0.9774614882354933
Slow,6255,97,0.620077643052119,0.013580420480273506,0.13306040267645022,0.6101374452340647,0.015579572802016505,0.0090641953212288,0.00011644105682578715,0.9908193636219454
