Group,N_Trials,N_Subjects,Accuracy,Accuracy_SEM,Accuracy_SD,F1-Score,F1_SEM,Physiology_Weight,Behavior_Weight,Gaze_Weight
Low,4177,97,0.807021241397299,0.01964042363844949,0.19243606498519314,0.7361472515293696,0.02480105859999808,0.007380117241987157,0.9310528077707564,0.06156707498725631
Medium,4162,97,0.6860481001548517,0.02401091740560572,0.23525798359938113,0.5844333743407829,0.02939562063356198,0.09004603902086575,0.8762290112822446,0.033724949696889654
High,4172,97,0.6075165441046098,0.015679500986571962,0.15362710735426693,0.6007019849538248,0.018325115059534925,0.25657893307585816,0.6999686345694082,0.043452432354733644
