accuracy,f1_score
0.6,0.5666666666666667
0.4,0.5714285714285714
1.0,1.0
1.0,1.0
0.4,0.45714285714285713
0.4,0.4
0.8,0.888888888888889
0.6,0.6
0.6,0.6
0.2,0.26666666666666666
0.4,0.5714285714285714
0.6,0.75
0.4,0.4
0.8,0.7809523809523808
0.8,0.8
0.2,0.13333333333333333
0.2,0.2
1.0,1.0
0.2,0.2
1.0,1.0
0.8,0.711111111111111
0.4,0.4
0.8,0.7809523809523808
0.6,0.6333333333333333
1.0,1.0
0.6,0.5666666666666667
0.8,0.711111111111111
0.6,0.6
0.6,0.45
0.2,0.06666666666666667
0.6,0.45
0.4,0.45714285714285713
0.8,0.711111111111111
0.6,0.6333333333333333
0.4,0.22857142857142856
0.4,0.45714285714285713
0.4,0.45714285714285713
1.0,1.0
1.0,1.0
0.2,0.06666666666666667
0.8,0.819047619047619
0.4,0.4
0.2,0.06666666666666667
0.6,0.6
0.8,0.819047619047619
0.6,0.6
0.8,0.711111111111111
0.2,0.26666666666666666
0.4,0.4
0.4,0.34285714285714286
0.6,0.6
0.8,0.8
1.0,1.0
0.6,0.45
0.8,0.8
0.4,0.4
0.6,0.6
0.8,0.888888888888889
0.8,0.7809523809523808
0.6,0.5666666666666667
0.4,0.22857142857142856
0.0,0.0
0.8,0.819047619047619
0.6,0.75
0.8,0.819047619047619
1.0,1.0
1.0,1.0
0.8,0.711111111111111
1.0,1.0
0.8,0.7809523809523808
0.8,0.7809523809523808
0.6,0.6
0.4,0.45714285714285713
0.2,0.26666666666666666
0.8,0.711111111111111
0.6,0.6
0.4,0.5714285714285714
0.2,0.13333333333333333
0.2,0.26666666666666666
0.4,0.22857142857142856
1.0,1.0
1.0,1.0
0.8,0.888888888888889
1.0,1.0
0.0,0.0
0.6,0.5666666666666667
0.4,0.45714285714285713
0.6,0.75
0.2,0.06666666666666667
0.6,0.6333333333333333
0.4,0.45714285714285713
1.0,1.0
0.2,0.06666666666666667
0.6,0.6333333333333333
0.4,0.22857142857142856
0.8,0.711111111111111
0.6,0.75
