Visit,N_subjects,N_trials,Accuracy,F1_Score,Mean_Subject_Acc,Std_Subject_Acc
1,49,6317,0.6742124426151654,0.6544507956266248,0.6753525059601855,0.09841615396475267
2,34,4495,0.7025583982202447,0.6531951898072658,0.694306035366566,0.17784774244180743
3,8,939,0.5548455804046858,0.5376423363643811,0.5772689981848205,0.15152602946847676
