Method,Accuracy,F1-Score
Physiology Only,0.5190799235946226,0.5040439749970541
Behavior Only,0.6474864692307798,0.6609670912619686
Gaze Only,0.5027465075375215,0.5049444744142515
Average Fusion,0.6380316671474069,0.6390364821562637
Weighted Fusion,0.6782005590277083,0.6618926297411328
Stacking,0.6241270248597197,0.6259389747777334
