Visit,N_subjects,N_trials,Accuracy,F1_Score,Mean_Subject_Acc,Std_Subject_Acc
1,49,6317,0.6598068703498496,0.6394154821972801,0.6625993688233445,0.10098014568878329
2,34,4495,0.6943270300333704,0.6391171874323344,0.683878911866354,0.17576836457936756
3,8,939,0.5591054313099042,0.5395346335073465,0.5811709640968916,0.15142502241623748
