trait,high_mean,low_mean,cohens_d,p_value
rt_mean,2.018185917972856,2.547273032191017,-1.0532394705766033,0.00034878547060489593
rt_std,0.5560018043968862,0.6832292046284956,-0.9366536201713911,0.001282093753228376
rt_cv,0.2776251899576971,0.27151031357698996,0.13940396993696852,0.6140978088869041
rt_choice_diff,-0.33676755588454105,-0.16196108442165594,-0.5288749173943658,0.07096082922965273
ev_diff_mean,0.4919389649835874,0.4940945497645031,-0.19850891338947257,0.47331491320236974
ev_diff_std,0.29898766289615053,0.29739098783745305,0.36434354192444807,0.1907499227159018
risk_premium_mean,0.11884184277310096,0.11952943569070418,-0.18084787609671044,0.5133833562067402
risk_premium_std,0.09981025541910613,0.0999150350252336,-0.056757579448142324,0.8371729044908128
invest_variance_mean,36.9824488471134,36.79485462743902,0.21503957702271964,0.43747124017655814
social_prop,0.5033871555449851,0.4991596890826204,0.26909116371630054,0.332038789519164
running_invest_rate_std,0.07162214332720117,0.07873203452963319,-0.29783813489864397,0.2834830183235061
recent_invest_rate_std,0.17141800425971532,0.20013610211382124,-0.4463777001365483,0.11042356027479347
choice_consistency,0.6935390607212454,0.4820746034523144,0.906716028287978,0.0017690439317795655
ambiguity_sensitivity,0.3938367080046987,0.2659061003334938,0.46723280039123916,0.09513746930834999
subject_invest_rate,0.7324978848906313,0.6850807717683706,0.2587370857059503,0.35081128980042287
pupil_variability,0.24027089767493484,0.24812814236023492,-0.09231061694070719,0.7382824019630013
gaze_variability,0.036589049916353956,0.028912092772277024,1.0346420588438348,0.00043135061851303993
