Predictor,Coefficient,Abs_Coefficient
choice_consistency,0.10342603410081531,0.10342603410081531
ambiguity_sensitivity,-0.058695408894913204,0.058695408894913204
aversion_score,0.05594073344089752,0.05594073344089752
gaze_variability,0.033779209302349227,0.033779209302349227
gaze_coupling_score,-0.024316444203016877,0.024316444203016877
rt_cv,-0.018264321989168945,0.018264321989168945
subject_invest_rate,0.015154520973601667,0.015154520973601667
running_invest_rate_std,-0.015132972213244309,0.015132972213244309
