Method,Accuracy,F1-Score
Physiology Only,0.5236109741882374,0.5333788990317528
Behavior Only,0.6460888611563723,0.6677284656393802
Gaze Only,0.4952689675957109,0.40953884797620665
Weighted Fusion (Normalized),0.6748511053627662,0.6534690627161084
