Method,Accuracy,F1-Score
Physiology Only,0.5351060362749711,0.5469691307886191
Behavior Only,0.6510698066538603,0.6650555282527746
Gaze Only,0.5057282080134659,0.43101372188623477
Average Fusion,0.6435533002823287,0.6515230577494884
Weighted Fusion,0.6965067898311101,0.6851970737905705
Stacking,0.6230557803078824,0.6362147381917871
