Visit,N_subjects,N_trials,Accuracy,F1_Score,Mean_Subject_Acc,Std_Subject_Acc
1,49,5898,0.6709053916581892,0.6581537108824838,0.6678729002716022,0.09130905670588894
2,34,3870,0.6870801033591731,0.6440516340691735,0.6830323486752112,0.17023250456768868
3,8,939,0.5889243876464324,0.5836966264955155,0.6057483942436072,0.12023674512624481
