Method,Accuracy,F1-Score
Physiology Only,0.5284334078776338,0.5237469100793557
Behavior Only,0.6921383082802626,0.7040823894392774
Gaze Only,0.5562330658043627,0.5040703571216785
EEG Only,0.6138248864859992,0.5307229619620606
Weighted Fusion (All Modalities),0.6696718339170402,0.6332636892539847
