subject_id,accuracy
0806_1000_539136F,0.6779661016949152
0806_1000_U9TEJGM,0.549618320610687
0811_1000_4LI8GO7,0.7768595041322314
0811_1000_539136F,0.7923076923076923
0811_1000_U9TEJGM,0.7099236641221374
0813_1000_539136F,0.40310077519379844
0813_1000_9M4VCHG,0.5203252032520326
0813_1000_U9TEJGM,0.5234375
0813_1600_539136F,0.6290322580645161
0813_1600_9M4VCHG,0.6
0813_1600_U9TEJGM,0.8617886178861789
0816_1400_539136F,0.875968992248062
0816_1400_9M4VCHG,0.3790322580645161
0816_1400_U9TEJGM,0.696
0817_1000_539136F,0.5648854961832062
0817_1000_9M4VCHG,0.6335877862595419
0817_1000_U9TEJGM,0.6890756302521008
0818_1600_539136F,0.6212121212121212
0818_1600_9M4VCHG,0.6666666666666666
0818_1600_U9TEJGM,0.5227272727272727
0819_1400_539136F,0.5193798449612403
0819_1400_9M4VCHG,0.4174757281553398
0819_1400_U9TEJGM,0.8217054263565892
0823_1400_539136F,0.4198473282442748
0823_1400_9M4VCHG,1.0
0823_1400_U9TEJGM,0.5691056910569106
0824_1000_539136F,0.7099236641221374
0824_1000_9M4VCHG,0.45794392523364486
0824_1000_U9TEJGM,0.5701754385964912
0824_1600_539136F,0.48091603053435117
0824_1600_9M4VCHG,0.4609375
0824_1600_U9TEJGM,0.6776859504132231
0825_1000_539136F,0.8648648648648649
0825_1000_9M4VCHG,0.3333333333333333
0825_1300_539136F,0.6290322580645161
0825_1300_9M4VCHG,0.6218487394957983
0825_1300_U9TEJGM,0.5056179775280899
0826_1000_539136F,0.9848484848484849
0826_1000_9M4VCHG,0.47244094488188976
0826_1300_539136F,0.6136363636363636
0826_1300_9M4VCHG,0.45454545454545453
0826_1300_U9TEJGM,0.5128205128205128
0827_1000_539136F,0.84375
0827_1000_9M4VCHG,0.5648854961832062
0827_1000_U9TEJGM,0.819672131147541
0828_1300_9M4VCHG,0.2743362831858407
0828_1300_U9TEJGM,0.7972972972972973
0830_1300_539136F,0.7222222222222222
0830_1300_9M4VCHG,0.6793893129770993
0830_1300_U9TEJGM,0.5736434108527132
0831_1000_539136F,0.6641221374045801
0831_1000_9M4VCHG,0.569620253164557
0831_1000_U9TEJGM,0.9696969696969697
0831_1300_539136F,0.8153846153846154
0831_1300_9M4VCHG,0.6974789915966386
0831_1300_U9TEJGM,0.5271317829457365
0901_1000_539136F,0.624
0901_1000_9M4VCHG,0.6048387096774194
0901_1000_U9TEJGM,0.9090909090909091
0901_1300_539136F,0.8275862068965517
0901_1300_9M4VCHG,0.3790322580645161
0901_1300_U9TEJGM,0.4609375
0915_1000_539136F,0.453781512605042
0915_1000_9M4VCHG,0.9618320610687023
0915_1000_U9TEJGM,0.4024390243902439
0917_1030_539136F,0.6335877862595419
0917_1030_9M4VCHG,0.9922480620155039
0917_1030_U9TEJGM,0.6201550387596899
0920_1600_539136F,0.625
0920_1600_9M4VCHG,0.5859375
0920_1600_U9TEJGM,0.4959349593495935
0922_1000_539136F,0.8130081300813008
0922_1000_9M4VCHG,0.8837209302325582
0922_1000_U9TEJGM,0.6818181818181818
0923_1000_539136F,0.9541984732824428
0923_1000_9M4VCHG,0.9389312977099237
0923_1000_U9TEJGM,0.75
0923_1600_539136F,0.743801652892562
0923_1600_9M4VCHG,0.5538461538461539
0923_1600_U9TEJGM,0.59375
0924_1000_539136F,0.7109375
0924_1000_9M4VCHG,0.9846153846153847
0924_1000_U9TEJGM,0.7416666666666667
0924_1600_539136F,0.8813559322033898
0924_1600_9M4VCHG,0.43846153846153846
0924_1600_U9TEJGM,0.6341463414634146
0927_0930_539136F,0.6793893129770993
0927_0930_U9TEJGM,0.37373737373737376
0928_1600_539136F,0.2545454545454545
0928_1600_9M4VCHG,0.6239316239316239
0928_1600_U9TEJGM,0.7634408602150538
0930_1700_539136F,1.0
0930_1700_9M4VCHG,0.625
0930_1700_U9TEJGM,0.5121951219512195
1005_1600_539136F,0.8099173553719008
1005_1600_9M4VCHG,0.8048780487804879
1005_1600_U9TEJGM,1.0
