feature,mean_abs_shap
pupil_slope_pre,0.028056150406447277
pupil_std_pre,0.01790877961944015
risk_premium,0.011910821410939049
ev_difference,0.011427806159361913
invest_variance,0.011415988699384871
pct_time_dilating_pre,0.008642097396188311
time_to_peak_pre,0.007921595398128431
pupil_cv_pre,0.005936288629943673
screen_y_mean,0.004615630350624594
gaze_y_mean,0.0037587381096601297
pupil_velocity_mean_pre,0.0032515765255026418
gaze_x_std,0.00289877994417546
pupil_max_dilation_rate_pre,0.00287660683746397
gaze_x_mean,0.002508211386196057
gaze_y_std,0.002198879259424158
pupil_max_constriction_rate_pre,0.002165009582577038
gaze_path_length,0.0021376789434054324
pupil_mean_pre,0.0018868969021344597
gaze_acceleration_std,0.0014693065317803193
gaze_dispersion_y,0.001452697162536112
screen_y_std,0.0014422163988736811
eye_asymmetry_pre,0.0014070243032566624
pupil_acceleration_std_pre,0.0013436320679126412
gaze_dispersion_x,0.0013078864283207934
eye_asymmetry_std_pre,0.0012339981893062638
gaze_acceleration_mean,0.0011281352900382924
num_dilation_peaks_pre,0.0011131442672294176
screen_x_std,0.0010359066478033622
screen_x_mean,0.0008951833275712089
gaze_velocity_max,0.0008515289702879442
gaze_velocity_std,0.0007499301244357233
gaze_velocity_mean,0.0006921078009499422
fixation_ratio,0.00015154689723688048
saccade_ratio,0.00014233358570943415
condition_social,0.00011411385337299697
saccade_count,6.225413037239587e-05
gaze_valid_pct,0.0
