feature,mean_abs_shap
pupil_slope_pre,0.029793214958173483
screen_y_mean,0.014570071513570029
pupil_std_pre,0.011037992882036732
ev_difference,0.010561868874725044
invest_variance,0.010385102793718692
risk_premium,0.01034923970064859
gaze_x_mean,0.009515174531454475
pct_time_dilating_pre,0.00903516934807989
time_to_peak_pre,0.007397123238609202
pupil_cv_pre,0.007374982541938665
pupil_max_dilation_rate_pre,0.006993992498179759
gaze_path_length,0.004221854469755898
gaze_x_std,0.0038015162948030357
gaze_dispersion_x,0.0035825815361950723
gaze_y_mean,0.003225934959297061
pupil_velocity_mean_pre,0.0027681378886857846
pupil_max_constriction_rate_pre,0.0023142692792877517
gaze_y_std,0.0022950406604683128
screen_x_std,0.00226289809868661
pupil_acceleration_std_pre,0.0020823907539201515
screen_y_std,0.001897108457476409
pupil_mean_pre,0.0017852015071480366
gaze_dispersion_y,0.0016700651960670318
eye_asymmetry_pre,0.0016675612086889896
eye_asymmetry_std_pre,0.0016295100621385786
screen_x_mean,0.0015520309666833953
gaze_acceleration_mean,0.0014235638647310171
gaze_acceleration_std,0.001407058999103852
gaze_velocity_max,0.0012897323396131718
gaze_velocity_mean,0.0012330485561862288
gaze_velocity_std,0.0010524185522979913
num_dilation_peaks_pre,0.0010202375577129527
fixation_ratio,0.000538578785422746
condition_social,0.0003183660410800045
saccade_ratio,0.0002729205237028382
saccade_count,8.87195800026413e-05
gaze_valid_pct,0.0
