feature,mean_abs_shap
pupil_slope_pre,0.019104046913085045
gaze_y_mean,0.01820759825622121
risk_premium,0.01716328658537972
invest_variance,0.01680612334150047
pupil_std_pre,0.015484687771251646
ev_difference,0.014737922310645388
pct_time_dilating_pre,0.012075199412124385
gaze_acceleration_std,0.009526692426709647
gaze_acceleration_mean,0.009226271390598482
screen_y_mean,0.00879681619811884
pupil_cv_pre,0.0061822668814920535
time_to_peak_pre,0.005941991492572067
gaze_x_mean,0.005210539555472082
gaze_x_std,0.004136046877533007
pupil_velocity_mean_pre,0.004109014941933469
gaze_y_std,0.0039281290557360345
screen_x_mean,0.00392275035195998
gaze_velocity_mean,0.0034789564497680883
screen_y_std,0.0029100228691228865
pupil_acceleration_std_pre,0.00278142696653382
eye_asymmetry_pre,0.002571592415771461
gaze_velocity_std,0.002534388037515918
pupil_max_dilation_rate_pre,0.002518182297358589
pupil_max_constriction_rate_pre,0.0024401903649246995
eye_asymmetry_std_pre,0.00228758546148035
pupil_mean_pre,0.002286885411652608
gaze_velocity_max,0.002280060378236585
gaze_dispersion_y,0.002258405542229685
screen_x_std,0.002050965524638544
gaze_dispersion_x,0.0019256929765146767
gaze_path_length,0.0017300860509063556
condition_social,0.0005493816792623294
num_dilation_peaks_pre,0.0004984232927927262
fixation_ratio,0.00019771813479131146
saccade_ratio,0.00016898618691089002
saccade_count,0.0001673525015187151
gaze_valid_pct,0.0
